STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,state,S1,S2,S3,S4,S5,S6
13,397,10,3,0,0,0,1,0,4,0.00119421234027121,0,0,0.998805787659729,0,0
13,398,0,0,10,3,0,0,0,2,0,0.999998747159144,0,0,1.25284085553016e-06,0
13,399,8,4,0,0,0,3,0,1,1,0,0,0,0,0
13,400,6,6,0,0,0,5,0,1,1,0,0,0,0,0
13,401,0,0,0,0,0,10,0,3,0,0,1,0,0,0
13,402,7,5,0,0,0,4,0,1,1,0,0,0,0,0
13,403,0,0,0,0,0,10,0,3,0,0,1,0,0,0
13,404,0,0,0,0,0,10,0,3,0,0,1,0,0,0
13,405,0,0,0,0,0,10,0,3,0,0,1,0,0,0
13,406,0,0,10,3,0,0,0,2,0,0.999997195406406,0,0,2.80459359393007e-06,0
13,407,10,5,0,0,0,0,0,4,5.10785413634399e-05,0,0,0.999948921458637,0,0
13,408,0,0,0,0,0,10,0,3,0,0,1,0,0,0
13,409,9,5,0,0,0,3,0,1,1,0,0,0,0,0
13,410,4,5,0,0,0,7,0,1,1,0,0,0,0,0
13,411,10,6,0,0,0,0,0,4,0.000402230950435698,0,0,0.999597769049564,0,0
13,412,0,0,10,4,0,1,0,2,0,0.999973205622859,0,0,2.67943771408943e-05,0
13,413,0,0,0,0,0,10,0,3,0,0,1,0,0,0
13,414,0,0,9,4,0,2,0,2,0,0.994954743991582,0,0,0.00504525600841848,0
13,415,0,0,10,3,0,0,0,2,0,0.999998398205869,0,0,1.60179413139699e-06,0
13,416,0,0,0,0,0,10,0,3,0,0,1,0,0,0
16,434,3,10,8,10,0,0,0,5,0,0,0,0,1,0
16,435,8,5,0,0,1,2,1,1,1,0,0,0,0,0
16,436,9,4,0,0,0,1,1,1,1,0,0,0,0,0
16,437,7,6,3,10,2,1,0,5,0,0,0,0,1,0
16,438,0,0,0,0,0,10,0,3,0,0,1,0,0,0
16,439,0,0,0,0,0,10,0,3,0,0,1,0,0,0
16,440,0,0,0,0,0,10,0,3,0,0,1,0,0,0
16,441,4,10,6,10,0,2,0,5,0,0,0,0,1,0
16,442,7,5,0,0,3,2,1,1,1,0,0,0,0,0
16,443,0,0,0,0,0,6,5,3,0,0,1,0,0,0
16,444,0,0,10,10,0,0,0,2,0,0.999993809323845,0,0,6.19067615469916e-06,0
16,445,0,0,0,0,0,10,0,3,0,0,1,0,0,0
16,446,0,0,0,0,0,10,0,3,0,0,1,0,0,0
16,447,0,0,0,0,0,10,0,3,0,0,1,0,0,0
16,448,0,0,10,10,0,0,0,2,0,0.999993809323845,0,0,6.19067615469916e-06,0
16,449,8,10,0,0,0,3,0,1,1,0,0,0,0,0
16,450,0,0,0,0,0,10,0,3,0,0,1,0,0,0
16,451,0,0,0,0,0,10,0,3,0,0,1,0,0,0
16,452,0,0,0,0,0,10,0,3,0,0,1,0,0,0
16,453,0,0,0,0,0,10,0,3,0,0,1,0,0,0
16,454,0,0,10,10,0,0,0,2,0,0.999993809323845,0,0,6.19067615469916e-06,0
16,455,0,0,0,0,0,10,0,3,0,0,1,0,0,0
16,456,0,0,0,0,0,10,0,3,0,0,1,0,0,0
17,484,10,4,0,0,0,0,1,4,0.000706266517052711,0,0,0.999293733482947,0,0
17,485,0,0,10,4,1,1,0,2,0,0.999670969219737,0,0,0.000329030780262921,0
17,486,5,5,0,0,4,2,1,1,1,0,0,0,0,0
17,487,0,0,0,0,10,0,0,6,0,0,0,0,0,1
17,488,8,5,0,0,2,1,0,1,1,0,0,0,0,0
17,489,6,6,0,0,4,1,0,1,1,0,0,0,0,0
17,490,0,0,10,3,0,0,0,2,0,0.999994848800615,0,0,5.15119938529602e-06,0
17,491,10,3,0,0,0,0,0,4,1.54538356094292e-05,0,0,0.999984546164391,0,0
17,492,8,7,0,0,1,2,0,1,1,0,0,0,0,0
17,493,0,0,0,0,9,2,0,6,0,0,0,0,0,1
17,494,2,6,0,0,7,3,0,1,1,0,0,0,0,0
17,495,0,0,10,4,0,0,0,2,0,0.999991756305416,0,0,8.24369458376269e-06,0
17,496,0,0,0,0,6,6,0,6,0,0,0.000241216089548443,0,0,0.999758783910451
17,497,0,0,0,0,6,6,0,6,0,0,0.000167615259400535,0,0,0.999832384740599
17,498,0,0,0,0,6,5,0,6,0,0,0,0,0,1
17,499,0,0,0,0,10,0,0,6,0,0,0,0,0,1
17,500,0,0,0,0,6,6,0,6,0,0,0.000167615259400535,0,0,0.9998323847406
17,501,0,0,0,0,10,0,0,6,0,0,0,0,0,1
17,502,0,0,0,0,9,2,0,6,0,0,0,0,0,1
17,503,0,0,0,0,9,2,0,6,0,0,0,0,0,1
17,504,0,0,0,0,10,0,0,6,0,0,0,0,0,1
17,505,0,0,0,0,10,0,0,6,0,0,0,0,0,1
17,506,0,0,0,0,0,10,0,3,0,0,1,0,0,0
17,507,10,6,0,0,0,0,0,4,0.000298778606047725,0,0,0.999701221393952,0,0
17,508,10,6,0,0,1,0,0,4,0.00324907441920602,0,0,0.996750925580794,0,0
17,509,3,5,5,4,3,1,0,5,0,0,0,0,1,0
17,510,0,0,0,0,6,6,0,6,0,0,0.000241671868864328,0,0,0.999758328131136
17,511,0,0,0,0,10,0,0,6,0,0,0,0,0,1
17,512,0,0,0,0,10,0,0,6,0,0,0,0,0,1
17,513,10,3,0,0,0,0,0,4,5.73014247193025e-05,0,0,0.999942698575281,0,0
17,514,3,10,0,0,6,3,0,1,1,0,0,0,0,0
17,515,5,10,0,0,3,5,0,1,1,0,0,0,0,0
17,516,6,5,3,7,2,2,0,5,0,0,0,0,1,0
17,517,0,0,0,0,7,4,0,3,0,0,1,0,0,0
17,518,1,10,0,0,5,5,0,1,1,0,0,0,0,0
17,519,4,4,0,0,7,1,0,1,1,0,0,0,0,0
17,520,0,0,0,0,10,0,0,6,0,0,0,0,0,1
17,521,0,0,9,6,1,1,0,2,0,0.924013083703537,0,0,0.0759869162964634,0
18,574,7,6,0,0,0,4,0,1,1,0,0,0,0,0
18,575,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,576,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,577,0,0,0,0,0,6,5,3,0,0,1,0,0,0
18,578,0,0,10,4,0,1,1,2,0,0.999509133703997,0,0,0.000490866296002981,0
18,579,0,0,0,0,0,7,4,3,0,0,1,0,0,0
18,580,4,6,0,0,5,2,1,1,1,0,0,0,0,0
18,581,6,7,0,0,0,5,0,1,1,0,0,0,0,0
18,582,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,583,10,7,0,0,0,0,0,4,0.000258391234648899,0,0,0.999741608765351,0,0
18,584,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,585,9,9,0,0,0,0,2,1,1,0,0,0,0,0
18,586,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,587,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,588,0,0,10,3,0,1,0,2,0,0.999962520062928,0,0,3.74799370725082e-05,0
18,589,10,3,0,0,0,0,0,4,1.54538356094292e-05,0,0,0.99998454616439,0,0
18,590,5,6,0,0,4,2,1,1,1,0,0,0,0,0
18,591,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,592,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,593,1,6,9,3,1,1,1,5,0,0,0,0,1,0
18,594,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,595,9,9,0,0,0,2,0,1,1,0,0,0,0,0
18,596,8,9,0,0,0,3,0,1,1,0,0,0,0,0
18,597,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,598,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,599,9,7,0,0,0,2,0,1,1,0,0,0,0,0
18,600,9,9,0,0,0,2,0,1,1,0,0,0,0,0
18,601,6,8,0,0,0,5,0,1,1,0,0,0,0,0
18,602,4,6,0,0,5,2,1,1,1,0,0,0,0,0
18,603,6,5,0,0,3,3,0,1,1,0,0,0,0,0
18,604,4,6,0,0,3,4,0,1,1,0,0,0,0,0
18,605,0,0,9,8,0,1,2,2,0,0.961074162176522,0,0,0.0389258378234783,0
18,606,9,6,0,0,0,2,0,1,1,0,0,0,0,0
18,607,0,0,10,3,0,0,0,2,0,0.999994848800615,0,0,5.15119938529602e-06,0
18,608,0,0,0,0,2,9,0,6,0,0,0.00552659458685288,0,0,0.994473405413147
18,609,0,0,0,0,7,4,0,3,0,0,1,0,0,0
18,610,3,6,0,0,7,2,0,1,1,0,0,0,0,0
18,611,10,5,0,0,0,1,1,4,0.0359984310605293,0,0,0.964001568939471,0,0
18,612,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,613,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,614,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,615,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,616,7,7,0,0,0,2,2,1,1,0,0,0,0,0
18,617,0,0,10,4,0,0,0,2,0,0.999991756305416,0,0,8.24369458376269e-06,0
18,618,0,0,0,0,1,9,1,3,0,0,1,0,0,0
18,619,3,4,3,6,3,3,0,5,0,0,0,0,1,0
18,620,0,0,9,8,0,0,2,2,0,0.998234261132996,0,0,0.00176573886700376,0
18,621,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,622,0,0,0,0,0,10,0,3,0,0,1,0,0,0
18,623,0,0,10,4,0,0,2,2,0,0.999985639041452,0,0,1.43609585477059e-05,0
18,624,0,0,0,0,1,10,0,3,0,0,1,0,0,0
20,659,9,8,0,0,0,3,0,1,1,0,0,0,0,0
20,660,4,5,5,4,1,1,2,5,0,0,0,0,1,0
20,661,0,0,0,0,0,10,0,3,0,0,1,0,0,0
20,662,0,0,0,0,0,4,7,3,0,0,1,0,0,0
20,663,0,0,0,0,0,7,4,3,0,0,1,0,0,0
20,664,6,4,0,0,0,5,1,1,1,0,0,0,0,0
20,665,0,0,0,0,0,8,3,6,0,0,0,0,0,1
20,666,2,5,6,3,1,1,2,5,0,0,0,0,1,0
20,667,0,0,0,0,0,0,10,6,0,0,0,0,0,1
20,668,0,0,0,0,2,9,0,6,0,0,0.00384650240034155,0,0,0.996153497599658
20,669,0,0,0,0,0,10,0,3,0,0,1,0,0,0
20,670,0,0,0,0,0,10,0,3,0,0,1,0,0,0
20,671,0,0,0,0,0,10,0,3,0,0,1,0,0,0
20,672,0,0,0,0,0,10,0,3,0,0,1,0,0,0
20,673,0,0,0,0,0,10,0,3,0,0,1,0,0,0
20,674,4,10,0,0,0,7,0,1,1,0,0,0,0,0
20,675,0,0,0,0,6,6,0,6,0,0,0.000318910056040467,0,0,0.99968108994396
20,676,4,0,0,0,2,6,0,1,0.998711747257802,0,0.00128825274219754,0,0,0
20,677,0,0,0,0,6,6,0,6,0,0,0.000318910056040467,0,0,0.99968108994396
20,678,0,0,0,0,0,10,0,3,0,0,1,0,0,0
20,679,0,0,0,0,0,10,0,3,0,0,1,0,0,0
20,680,0,0,0,0,0,10,0,3,0,0,1,0,0,0
20,681,1,0,8,4,1,1,1,5,0,0.00195196694038894,0,0,0.998048033059611,0
20,682,0,0,0,0,0,0,10,6,0,0,0,0,0,1
20,683,0,0,0,0,0,10,0,3,0,0,1,0,0,0
20,684,10,4,0,0,0,0,0,4,0.000100696643627787,0,0,0.999899303356372,0,0
20,685,0,0,10,6,0,0,1,2,0,0.999978343338403,0,0,2.16566615969261e-05,0
20,686,0,0,10,4,0,0,0,2,0,0.999997436571805,0,0,2.56342819512196e-06,0
20,687,0,0,0,0,0,10,0,3,0,0,1,0,0,0
20,688,0,0,10,5,0,0,0,2,0,0.999994817380662,0,0,5.18261933810798e-06,0
21,709,0,0,0,0,0,0,10,6,0,0,0,0,0,1
21,710,4,10,0,0,0,7,0,1,1,0,0,0,0,0
21,711,0,0,0,0,0,10,0,3,0,0,1,0,0,0
21,712,0,0,0,0,0,10,0,3,0,0,1,0,0,0
21,713,7,9,0,0,0,4,0,1,1,0,0,0,0,0
21,714,2,7,0,0,6,3,0,1,1,0,0,0,0,0
21,715,2,9,0,0,6,3,0,1,1,0,0,0,0,0
21,716,2,10,3,7,3,3,1,5,0,0,0,0,1,0
21,717,4,10,0,0,0,7,0,1,1,0,0,0,0,0
21,718,0,0,0,0,0,10,0,3,0,0,1,0,0,0
21,719,0,0,0,0,0,10,0,3,0,0,1,0,0,0
21,720,0,0,0,0,8,3,0,6,0,0,0,0,0,1
21,721,0,0,0,0,6,6,0,6,0,0,0.000167615259400535,0,0,0.9998323847406
21,722,7,10,0,0,0,4,0,1,1,0,0,0,0,0
21,723,0,0,0,0,0,10,0,3,0,0,1,0,0,0
21,724,0,0,0,0,0,10,0,3,0,0,1,0,0,0
21,725,0,0,0,0,9,2,0,6,0,0,0,0,0,1
21,726,3,9,3,10,3,3,0,5,0,0,0,0,1,0
21,727,0,0,0,0,0,10,0,3,0,0,1,0,0,0
21,728,0,0,0,0,0,10,0,3,0,0,1,0,0,0
21,729,9,8,0,0,0,2,0,1,1,0,0,0,0,0
21,730,5,8,0,0,3,4,0,1,1,0,0,0,0,0
21,731,0,0,0,0,0,10,0,3,0,0,1,0,0,0
21,732,0,0,10,6,0,1,0,2,0,0.999920870433097,0,0,7.91295669035872e-05,0
21,733,0,0,0,0,0,10,0,3,0,0,1,0,0,0
21,734,3,0,9,8,0,0,0,5,0,0,0,0,1,0
21,735,6,6,0,0,0,6,0,1,1,0,0,0,0,0
21,736,10,10,0,0,0,0,0,4,0.000235802079788599,0,0,0.999764197920211,0,0
21,737,0,0,0,0,10,0,0,6,0,0,0,0,0,1
21,738,0,0,0,0,0,10,0,3,0,0,1,0,0,0
21,739,0,0,0,0,10,0,0,6,0,0,0,0,0,1
21,740,3,10,0,0,3,6,0,1,1,0,0,0,0,0
21,741,0,0,0,0,10,0,0,6,0,0,0,0,0,1
21,742,0,0,0,0,0,0,10,6,0,0,0,0,0,1
21,743,0,0,9,7,0,2,1,2,0,0.916783621060885,0,0,0.083216378939115,0
21,744,0,0,0,0,0,10,0,3,0,0,1,0,0,0
24,766,0,0,0,0,0,0,10,6,0,0,0,0,0,1
24,767,6,5,0,0,4,2,0,1,1,0,0,0,0,0
24,768,8,7,0,0,0,2,1,1,1,0,0,0,0,0
24,769,3,7,8,4,1,1,0,5,0,0,0,0,1,0
24,770,7,9,0,0,0,4,0,1,1,0,0,0,0,0
24,771,0,0,0,0,0,10,0,3,0,0,1,0,0,0
24,772,10,7,0,0,0,0,0,4,0.000258391234648899,0,0,0.999741608765351,0,0
24,773,0,0,0,0,0,10,0,3,0,0,1,0,0,0
24,774,4,7,0,0,5,2,0,1,1,0,0,0,0,0
24,775,0,0,0,0,0,10,0,3,0,0,1,0,0,0
24,776,10,6,0,0,0,1,0,4,0.00720425626275562,0,0,0.992795743737244,0,0
24,777,0,0,9,8,0,2,0,2,0,0.99710251058926,0,0,0.00289748941073987,0
24,778,0,0,0,0,0,10,0,3,0,0,1,0,0,0
24,779,0,0,0,0,10,0,0,6,0,0,0,0,0,1
24,780,0,0,0,0,0,10,0,3,0,0,1,0,0,0
24,781,10,8,0,0,0,0,0,4,0.000280892714977322,0,0,0.999719107285023,0,0
24,782,0,0,0,0,0,10,0,3,0,0,1,0,0,0
24,783,0,0,0,0,0,10,0,3,0,0,1,0,0,0
24,784,0,0,10,5,1,1,0,2,0,0.999149938499525,0,0,0.000850061500475329,0
24,785,9,7,0,0,1,2,0,1,1,0,0,0,0,0
24,786,10,8,0,0,0,0,0,4,0.000378154397105916,0,0,0.999621845602894,0,0
24,787,9,6,0,0,1,1,0,1,1,0,0,0,0,0
24,788,0,0,0,0,0,10,0,3,0,0,1,0,0,0
24,789,0,0,0,0,0,10,0,3,0,0,1,0,0,0
24,790,0,0,0,0,0,10,0,3,0,0,1,0,0,0
24,791,0,0,10,6,0,0,0,2,0,0.999994078569872,0,0,5.92143012777634e-06,0
24,792,10,0,0,0,0,0,0,4,0.000151580252865974,0,0,0.999848419747134,0,0
24,793,10,7,0,0,0,0,0,4,0.000175075996858992,0,0,0.999824924003141,0,0
24,794,3,5,2,9,6,1,0,5,0,0,0,0,1,0
24,795,0,0,10,9,0,0,0,2,0,0.999993684217737,0,0,6.31578226294531e-06,0
24,796,0,0,9,6,1,1,0,2,0,0.952631504361404,0,0,0.0473684956385958,0
29,834,0,0,0,0,0,10,0,3,0,0,1,0,0,0
29,835,10,5,0,0,0,0,0,4,0.000162741202116383,0,0,0.999837258797884,0,0
29,836,0,0,0,0,0,10,0,3,0,0,1,0,0,0
29,837,0,0,0,0,0,10,0,3,0,0,1,0,0,0
29,838,0,0,0,0,0,10,0,3,0,0,1,0,0,0
29,839,9,4,0,0,1,1,0,1,1,0,0,0,0,0
29,840,8,6,0,0,2,2,0,1,1,0,0,0,0,0
29,841,0,0,10,9,0,0,0,2,0,0.999989178978007,0,0,1.08210219934759e-05,0
29,842,10,5,0,0,0,0,0,4,5.10785413634399e-05,0,0,0.999948921458637,0,0
29,843,0,0,0,0,0,10,0,3,0,0,1,0,0,0
29,844,0,0,0,0,0,10,0,3,0,0,1,0,0,0
29,845,5,6,0,0,2,4,0,1,1,0,0,0,0,0
29,846,8,3,0,0,1,3,0,1,1,0,0,0,0,0
29,847,0,0,9,8,0,2,0,2,0,0.988193042890685,0,0,0.0118069571093153,0
29,848,10,5,0,0,0,0,0,4,5.10785413634399e-05,0,0,0.999948921458637,0,0
29,849,0,0,0,0,4,7,0,3,0,0,0.981167355118917,0,0,0.0188326448810834
29,850,9,5,0,0,1,1,0,1,1,0,0,0,0,0
29,851,6,5,4,7,1,2,0,5,0,0,0,0,1,0
29,852,0,0,0,0,0,10,0,3,0,0,1,0,0,0
29,853,0,0,0,0,0,10,0,3,0,0,1,0,0,0
29,854,0,0,0,0,3,9,0,6,0,0,0.00388816444846037,0,0,0.99611183555154
29,855,0,0,0,0,1,10,0,3,0,0,1,0,0,0
29,856,5,3,4,7,1,2,0,5,0,0,0,0,1,0
29,857,10,3,0,0,0,0,0,4,3.32042403858649e-05,0,0,0.999966795759614,0,0
29,858,0,0,0,0,0,10,0,3,0,0,1,0,0,0
29,859,7,6,0,0,1,4,0,1,1,0,0,0,0,0
29,860,0,0,0,0,0,10,0,3,0,0,1,0,0,0
29,861,2,3,7,6,0,2,0,5,0,0,0,0,1,0
29,862,0,0,10,9,0,0,0,2,0,0.999993684217737,0,0,6.31578226294531e-06,0
29,863,0,0,10,3,0,0,0,2,0,0.999998398205869,0,0,1.60179413139699e-06,0
30,875,9,9,0,0,0,2,0,1,1,0,0,0,0,0
30,876,0,0,2,10,4,6,0,5,0,0,0,0,1,0
30,877,1,10,10,5,0,1,0,5,0,0,0,0,1,0
30,878,0,0,0,0,0,10,0,3,0,0,1,0,0,0
30,879,0,0,0,0,0,0,10,6,0,0,0,0,0,1
30,880,0,0,0,0,0,10,0,3,0,0,1,0,0,0
30,881,7,6,0,0,1,3,0,1,1,0,0,0,0,0
30,882,6,6,3,8,1,2,1,5,0,0,0,0,1,0
30,883,10,3,0,0,0,1,0,4,0.000805578640713812,0,0,0.999194421359286,0,0
30,884,0,0,0,0,0,10,0,3,0,0,1,0,0,0
30,885,3,6,6,6,1,1,0,5,0,0,0,0,1,0
30,886,5,8,0,0,5,2,0,1,1,0,0,0,0,0
30,887,5,6,3,9,2,2,0,5,0,0,0,0,1,0
30,888,0,0,10,7,0,0,0,2,0,0.999988863187386,0,0,1.11368126143674e-05,0
30,889,0,0,0,0,0,10,0,3,0,0,1,0,0,0
30,890,0,0,0,0,0,10,0,3,0,0,1,0,0,0
30,891,0,0,8,6,2,1,0,2,0,0.609417467383363,0,0,0.390582532616637,0
32,901,10,8,0,0,0,0,0,4,8.81691507061543e-05,0,0,0.999911830849294,0,0
32,902,0,0,0,0,0,10,0,3,0,0,1,0,0,0
32,903,0,0,10,5,0,0,0,2,0,0.999994817380662,0,0,5.18261933810798e-06,0
32,904,10,4,0,0,0,0,0,4,3.16036665703835e-05,0,0,0.99996839633343,0,0
32,905,0,0,10,5,0,0,0,2,0,0.999997684867496,0,0,2.31513250354985e-06,0
32,906,10,7,0,0,0,0,0,4,8.11049296706957e-05,0,0,0.999918895070329,0,0
32,907,0,0,0,0,0,10,0,3,0,0,1,0,0,0
32,908,0,0,0,0,0,10,0,3,0,0,1,0,0,0
32,909,0,0,0,0,0,10,0,3,0,0,1,0,0,0
32,910,0,0,10,6,0,0,0,2,0,0.999994078569872,0,0,5.92143012777634e-06,0
32,911,0,0,0,0,0,10,0,3,0,0,1,0,0,0
32,912,0,0,0,0,0,10,0,3,0,0,1,0,0,0
32,913,0,0,10,4,0,0,0,2,0,0.999995511677211,0,0,4.48832278891457e-06,0
32,914,0,0,0,0,0,0,10,6,0,0,0,0,0,1
32,915,10,6,0,0,0,0,0,4,0.000347670650911711,0,0,0.999652329349088,0,0
32,916,0,0,0,0,0,10,0,3,0,0,1,0,0,0
