STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,FA_SR_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,state,S1,S2,S3,S4,S5,S6
4,65,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,66,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,67,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,68,0,0,0,0,0,0,0,10,3,0,0,1,0,0,0
4,69,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,70,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,71,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,72,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,73,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,74,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,75,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,76,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,77,0,0,0,0,0,10,0,0,3,0,0,0.998740634152836,0,0,0.00125936584716429
4,78,0,0,0,0,0,10,0,0,3,0,0,0.998740634152836,0,0,0.00125936584716429
4,79,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,80,10,6,0,0,0,0,0,0,1,1,0,0,0,0,0
4,81,0,0,0,0,0,0,10,0,3,0,0,0.999926162388463,0,0,7.38376115373273e-05
4,82,0,0,0,10,3,0,0,0,4,0,0,0,0.999953718621014,4.628137898564e-05,0
4,83,0,0,0,0,0,0,10,0,3,0,0,0.999899502105449,0,0,0.000100497894551435
4,84,10,5,0,0,0,0,0,0,1,1,0,0,0,0,0
4,85,0,0,0,0,0,0,10,0,3,0,0,0.999926162388463,0,0,7.38376115373273e-05
4,86,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
4,87,0,0,0,0,0,0,8,3,6,0,0,0,0,0,1
