STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,state,S1,S2,S3,S4
7,150,0,0,0,0,0,10,0,3,0,0,1,0
7,151,0,0,0,0,6,1,0,3,0.00166125566573909,0,0.998338744334261,0
7,152,5,8,5,8,0,3,0,1,1,0,0,0
7,153,0,0,10,7,0,0,0,4,2.37837123293141e-07,0,0,0.999999762162877
7,154,0,0,10,8,0,0,0,4,6.77924177931243e-08,0,0,0.999999932207582
9,211,0,0,0,0,0,10,0,3,0,0,1,0
9,212,0,0,4,9,0,7,1,4,0.0448651715912775,0,0,0.955134828408722
9,213,0,0,0,0,0,10,0,3,0,0,1,0
9,214,0,0,10,6,0,1,0,4,2.01210078340419e-06,0,0,0.999997987899217
9,215,0,0,0,0,0,10,0,3,0,0,1,0
9,216,0,0,0,0,4,4,0,3,0.00188873984491194,0,0.998111260155088,0
9,217,9,6,0,0,0,2,0,1,1,0,0,0
9,218,0,0,0,0,0,10,0,3,0,0,1,0
9,219,0,0,0,0,0,10,0,3,0,0,1,0
9,220,0,0,0,0,0,10,0,3,0,0,1,0
9,221,0,0,0,0,0,10,0,3,0,0,1,0
9,222,0,0,0,0,0,10,0,3,0,0,1,0
9,223,2,7,0,0,3,1,0,1,1,0,0,0
9,224,2,6,2,9,2,1,1,1,1,0,0,0
9,225,0,0,0,0,0,10,0,3,0,0,1,0
9,226,0,0,0,0,0,10,0,3,0,0,1,0
9,227,0,0,8,9,0,3,0,4,0.000632725629479533,0,0,0.999367274370521
9,228,3,6,0,0,3,2,0,1,1,0,0,0
9,229,3,3,0,0,0,8,0,1,1,0,0,0
9,230,0,0,0,0,0,10,0,3,0,0,1,0
9,231,1,5,2,8,3,1,0,1,1,0,0,0
9,232,0,0,0,0,0,10,0,3,0,0,1,0
9,233,0,0,0,0,0,10,0,3,0,0,1,0
9,234,0,0,0,0,0,10,0,3,0,0,1,0
9,235,3,6,0,0,3,2,0,1,1,0,0,0
9,236,4,5,0,0,0,7,0,1,1,0,0,0
9,237,2,4,6,9,0,3,1,1,1,0,0,0
9,238,0,0,0,0,0,10,0,3,0,0,1,0
9,239,0,0,0,0,0,10,0,3,0,0,1,0
9,240,0,0,0,0,0,10,0,3,0,0,1,0
9,241,0,0,5,6,0,6,0,4,0.0048894093614843,0,0,0.995110590638516
9,242,5,6,2,10,2,2,1,1,1,0,0,0
9,243,7,6,0,0,0,4,0,1,1,0,0,0
9,244,7,10,0,0,0,0,4,1,1,0,0,0
9,245,0,0,0,0,0,10,0,3,0,0,1,0
9,246,0,0,0,0,0,10,0,3,0,0,1,0
9,247,3,10,0,0,2,4,1,1,0.999999681095251,0,3.18904749148368e-07,0
9,248,2,8,4,10,2,2,2,1,1,0,0,0
9,249,0,0,0,0,0,10,0,3,0,0,1,0
9,250,0,0,0,0,0,10,0,3,0,0,1,0
9,251,5,7,1,10,2,2,0,1,1,0,0,0
9,252,0,0,0,0,0,0,10,2,0,1,0,0
9,253,0,0,0,0,0,10,0,3,0,0,1,0
9,254,0,0,0,0,0,10,0,3,0,0,1,0
9,255,0,0,0,0,0,10,0,3,0,0,1,0
9,256,2,5,0,0,3,1,0,1,1,0,0,0
9,257,0,0,10,8,0,0,1,4,4.69802533815345e-07,0,0,0.999999530197466
10,273,4,5,0,0,2,4,0,1,1,0,0,0
10,274,0,0,0,0,0,0,10,2,0,1,0,0
10,275,0,0,0,0,0,10,0,3,0,0,1,0
10,276,0,0,10,9,0,0,0,4,2.07037238739564e-07,0,0,0.999999792962761
10,277,0,0,0,0,0,10,0,3,0,0,1,0
10,278,4,6,0,0,4,1,0,1,1,0,0,0
10,279,0,0,10,5,0,0,0,4,1.73147382904657e-07,3.34724729440782e-07,0,0.999999492127888
10,280,0,0,0,0,0,0,10,2,0,1,0,0
10,281,0,0,6,4,0,5,0,4,0.000199308223933949,0,0,0.999800691776066
10,282,3,4,6,4,1,2,0,1,1,0,0,0
10,283,0,0,10,4,0,0,0,4,9.04906289224646e-08,0,0,0.999999909509371
10,284,0,0,0,0,0,10,0,3,0,0,1,0
10,285,0,0,0,0,2,8,0,3,0.00221284305424459,0,0.997787156945755,0
10,286,0,0,0,0,0,6,6,3,2.70047745303539e-06,0,0.999997299522547,0
10,287,0,0,10,4,0,0,0,4,6.35440240511589e-08,0,0,0.999999936455976
10,288,0,0,0,0,0,9,2,3,0.000106760226687986,0,0.999893239773312,0
10,289,0,0,0,0,0,10,0,3,0,0,1,0
10,290,0,0,0,0,0,10,0,3,0,0,1,0
10,291,0,0,0,0,0,10,0,3,0,0,1,0
10,292,0,0,0,0,0,9,3,3,2.26893604753981e-05,0,0.999977310639525,0
10,293,0,0,0,0,0,10,0,3,0,0,1,0
10,294,0,0,0,0,0,10,0,3,0,0,1,0
10,295,0,0,10,0,0,0,0,4,1.39536623152722e-05,0.00268547106504783,0,0.997300575272637
10,296,0,0,10,6,0,0,0,4,3.74105203349945e-08,0,0,0.99999996258948
10,297,0,0,6,8,0,5,0,4,0.000719367345269826,0,0,0.99928063265473
10,298,0,0,0,0,0,10,0,3,0,0,1,0
10,299,0,0,0,0,0,10,0,3,0,0,1,0
10,300,0,0,0,0,0,10,0,3,0,0,1,0
10,301,7,6,0,0,0,4,0,1,1,0,0,0
10,302,10,6,0,0,0,0,0,1,1,0,0,0
10,303,0,0,0,0,0,10,0,3,0,0,1,0
10,304,0,0,10,3,0,0,0,4,5.93354097011094e-08,0,0,0.99999994066459
10,305,4,0,0,0,0,7,0,3,0.292706989627985,0,0.707293010372015,0
11,337,0,0,9,10,0,2,0,4,0.000192041756613382,0,0,0.999807958243387
11,338,0,0,0,0,0,10,0,3,0,0,1,0
11,339,5,6,6,7,0,1,0,1,1,0,0,0
11,340,0,0,0,0,0,0,10,2,0,1,0,0
11,341,0,0,10,6,0,0,0,4,3.46026091824205e-08,0,0,0.999999965397391
11,342,4,6,6,4,0,1,1,1,1,0,0,0
11,343,0,0,0,0,0,0,10,2,0,1,0,0
11,344,0,0,10,3,0,0,0,4,1.75294750847032e-08,0,0,0.999999982470525
11,345,0,0,10,3,0,0,0,4,1.89519461254901e-08,0,0,0.999999981048054
11,346,0,0,0,0,0,10,0,3,0,0,1,0
11,347,0,0,0,0,0,10,0,3,0,0,1,0
11,348,0,0,0,0,0,10,0,3,0,0,1,0
11,349,1,6,9,4,0,2,0,1,1,0,0,0
11,350,0,0,10,4,0,0,0,4,9.04906289224646e-08,0,0,0.999999909509371
11,351,0,0,0,0,0,10,0,3,0,0,1,0
11,352,0,0,10,3,0,0,0,4,5.93354097011094e-08,0,0,0.99999994066459
11,353,0,0,10,4,0,0,0,4,2.02961929466782e-08,0,0,0.999999979703807
11,354,0,0,10,2,0,0,0,4,1.59516309689097e-08,0,0,0.999999984048369
12,386,0,0,10,7,0,0,0,4,5.33446253325853e-08,0,0,0.999999946655375
12,387,0,0,10,9,0,0,0,4,6.61284553147067e-08,0,0,0.999999933871545
12,388,0,0,0,0,0,10,0,3,0,0,1,0
12,389,0,0,0,0,0,10,0,3,0,0,1,0
12,390,0,0,10,0,0,0,0,4,1.39536623152722e-05,0.00268547106504783,0,0.997300575272637
12,391,0,0,10,7,0,0,0,4,5.33446253325853e-08,0,0,0.999999946655375
12,392,0,0,0,0,0,10,0,3,0,0,1,0
