USER_ID,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,LCA_CL
5,3,2,1,2,4,1,2,4,1,4,1,2,2
7,4,4,4,3,4,4,4,4,4,4,4,4,3
9,4,4,4,4,4,4,4,3,4,4,4,3,3
10,1,1,1,3,2,4,2,2,4,3,4,4,2
11,3,2,2,2,1,2,2,1,3,1,1,1,1
12,3,1,2,2,2,4,3,3,3,3,3,3,2
13,4,4,4,4,2,2,3,4,3,4,4,0,3
14,2,3,3,2,2,2,1,3,4,2,3,2,2
18,4,4,3,3,4,3,3,4,4,2,3,2,3
19,3,4,3,3,4,3,3,3,4,4,4,2,3
20,3,2,4,2,2,3,3,2,3,1,2,2,2
21,4,3,4,2,2,2,2,2,3,2,4,4,2
22,4,3,4,3,1,3,3,4,1,3,3,2,2
23,3,3,3,2,4,4,2,4,3,3,2,1,2
24,1,1,1,3,4,4,2,1,3,3,2,2,2
25,3,3,3,3,4,1,2,3,4,1,1,3,2
26,3,2,2,1,4,1,0,1,0,1,2,1,1
27,1,2,3,1,3,2,2,2,1,2,2,2,1
28,2,2,1,2,4,1,1,1,3,2,1,3,1
30,3,3,3,2,3,1,3,2,1,4,3,2,2
31,4,4,2,4,3,3,1,4,4,2,2,4,3
32,3,2,2,3,1,1,2,0,1,1,2,4,1
34,2,4,1,3,4,1,2,1,1,2,4,4,2
36,0,3,1,1,3,1,3,3,3,3,1,3,1
37,2,3,2,2,3,3,2,4,3,0,4,3,2
38,4,4,4,4,4,4,4,4,4,1,4,4,3
40,4,3,4,4,3,4,4,3,4,2,4,4,3
41,4,3,3,2,2,3,2,2,3,4,3,3,2
42,3,4,4,4,2,4,4,4,3,2,4,4,3
45,4,4,4,3,4,4,4,4,3,4,4,4,3
46,4,2,3,2,4,2,2,1,2,1,2,1,2
47,2,2,3,1,1,1,2,3,1,3,2,0,1
48,4,4,4,4,4,4,4,4,3,3,2,4,3
49,1,1,1,1,1,3,2,2,0,0,1,1,1
50,4,4,4,4,1,4,4,4,4,4,4,4,3
52,3,2,3,2,4,4,4,4,2,4,4,4,2
53,1,1,0,2,1,2,1,1,3,0,2,1,1
54,4,4,2,4,4,4,4,4,4,4,4,4,3
55,4,4,4,3,3,3,2,2,4,4,2,3,2
56,1,2,1,2,1,3,2,1,3,1,2,1,1
58,1,1,1,3,4,3,3,3,3,2,4,1,2
59,2,2,4,3,4,4,3,4,4,4,4,2,2
60,0,1,2,1,1,0,1,2,1,2,0,0,1
61,2,1,1,2,3,4,3,1,1,1,1,1,1
63,3,3,3,4,3,1,2,3,3,3,3,1,2
64,1,1,1,1,2,1,1,1,1,2,2,1,1
65,3,3,4,2,2,1,2,2,4,3,2,2,2
66,2,1,1,2,2,0,3,3,4,1,3,4,2
67,3,4,4,4,4,4,4,4,4,4,4,2,3
70,2,3,2,3,3,2,4,4,3,4,4,3,3
71,3,1,2,1,3,1,3,1,2,2,2,2,1
72,3,2,3,2,1,2,1,1,2,1,0,0,1
73,1,3,1,2,3,4,4,4,3,3,2,3,2
75,3,3,3,3,2,4,3,2,3,3,2,3,2
76,3,2,1,4,3,3,1,1,1,4,4,4,2
78,3,4,3,3,4,3,3,2,3,1,4,1,2
79,0,1,1,1,1,2,1,2,1,1,1,0,1
80,1,1,2,2,2,3,2,3,3,4,3,4,2
81,1,1,1,1,1,2,1,1,1,1,1,2,1
82,4,4,3,4,3,4,4,4,4,4,4,4,3
84,2,2,1,2,2,1,1,2,1,2,3,3,1
86,4,4,4,2,4,1,1,3,2,2,2,2,2
87,2,2,2,2,1,4,4,4,4,2,3,2,2
90,1,1,3,1,2,1,1,1,1,2,1,2,1
91,2,1,1,4,4,3,1,2,1,2,4,3,2
92,2,3,3,3,3,3,3,3,4,4,2,2,2
93,3,3,4,2,3,2,2,3,3,3,3,4,2
94,2,2,3,3,2,3,1,3,1,2,2,3,2
97,1,1,1,1,3,1,1,0,0,1,2,1,1
98,2,3,1,3,4,1,1,1,1,1,2,2,1
99,4,3,4,4,2,1,3,3,4,2,3,4,3
100,3,3,2,2,2,1,2,2,3,3,2,4,2
101,4,2,1,2,4,1,1,2,2,1,4,4,2
102,2,3,2,1,4,3,2,1,3,4,1,4,2
103,2,3,2,2,1,4,4,4,3,3,3,2,2
104,4,4,4,4,3,4,4,4,4,4,4,4,3
105,2,1,1,2,1,2,2,1,1,1,2,1,1
106,1,1,1,1,2,3,2,1,2,2,1,3,1
107,4,4,3,3,2,2,4,4,4,2,3,0,3
108,2,3,2,4,4,1,1,1,0,1,1,3,1
109,3,4,4,4,2,2,4,3,4,4,4,4,3
110,4,4,4,4,3,4,4,4,4,4,3,3,3
111,3,2,1,1,3,2,1,2,1,3,2,2,1
113,3,1,3,4,4,4,4,2,1,4,4,4,2
115,2,1,2,1,1,1,1,1,0,1,2,3,1
117,3,3,4,3,3,2,4,2,2,4,4,4,2
118,1,4,4,4,1,2,3,4,3,4,4,3,3
119,4,4,3,4,3,4,4,4,3,1,4,2,3
120,2,3,1,2,2,1,1,0,1,1,1,0,1
121,2,2,1,2,2,4,2,3,3,3,2,3,2
122,4,1,1,3,2,3,2,1,4,2,4,3,2
124,3,3,4,4,3,3,4,4,4,3,3,4,3
125,2,2,2,2,4,2,1,2,1,2,3,2,1
127,2,3,3,3,2,4,3,4,3,3,2,1,2
128,1,1,3,2,2,1,1,1,0,1,2,3,1
129,4,2,4,4,3,4,4,4,3,4,4,4,3
130,2,4,4,3,2,4,2,2,1,2,3,2,2
131,1,1,1,1,1,1,0,1,1,1,1,0,1
132,3,3,4,1,1,2,3,2,2,3,1,2,2
133,1,1,3,2,1,1,3,1,2,2,1,2,1
134,2,3,2,2,3,2,2,1,3,1,1,3,1
135,1,1,1,1,3,0,1,1,0,0,1,0,1
137,4,4,2,4,1,2,4,4,3,4,2,3,3
138,4,2,3,1,4,2,1,0,3,1,2,1,1
139,1,2,1,2,2,1,1,2,2,1,2,1,1
140,3,3,3,3,1,1,2,3,1,1,2,3,2
141,1,1,1,1,1,1,0,0,1,0,0,0,1
143,3,3,2,2,2,1,3,3,3,3,3,3,2
144,1,1,1,1,3,4,2,1,2,2,1,1,1
146,3,2,2,2,1,2,2,2,0,2,1,4,1
148,4,4,4,2,2,1,4,2,4,3,2,2,2
149,0,0,0,1,0,0,0,0,0,0,0,0,1
150,1,1,0,0,0,0,2,2,4,4,1,3,1
151,4,4,4,4,4,4,4,3,4,4,4,4,3
152,1,1,1,1,1,0,0,1,0,1,1,0,1
153,4,2,3,4,2,3,4,3,3,3,3,4,2
155,0,1,1,1,2,1,1,1,2,0,1,2,1
156,1,1,1,1,1,1,1,1,1,1,1,1,1
162,3,3,3,1,2,1,4,3,4,1,1,1,2
163,3,3,1,2,4,2,2,3,3,3,2,2,2
164,4,3,1,2,4,3,3,1,1,1,2,2,2
165,2,2,3,3,1,3,2,2,2,2,2,1,2
167,2,3,3,4,4,2,3,4,3,4,3,3,2
168,4,4,4,3,2,3,4,4,4,3,4,3,3
172,3,2,2,2,1,3,4,2,4,2,2,2,2
173,1,2,3,2,2,3,3,4,3,3,2,3,2
174,2,1,1,2,3,1,3,1,3,3,4,3,2
175,4,3,4,3,4,1,4,2,2,4,3,3,2
176,1,1,2,1,1,2,2,1,1,2,3,1,1
177,3,4,3,3,3,2,4,3,0,3,1,1,2
178,1,2,1,2,3,0,1,1,2,1,0,1,1
179,1,1,1,0,1,0,0,0,0,0,0,0,1
180,1,1,1,1,1,1,3,0,2,3,1,3,1
181,3,4,4,3,2,1,4,4,4,2,4,3,3
182,1,1,1,1,0,0,0,1,1,1,3,0,1
184,3,3,2,2,2,4,2,2,2,3,1,1,2
185,4,2,3,4,3,3,1,2,2,1,4,3,2
187,2,1,1,1,1,0,3,0,0,2,0,2,1
189,1,0,1,2,1,1,1,0,2,1,1,0,1
190,4,2,2,1,3,3,1,2,2,2,2,2,2
191,4,4,4,3,3,3,1,2,2,3,3,2,2
192,2,3,1,1,3,2,1,3,1,2,3,1,1
193,4,4,4,2,1,1,3,4,2,1,1,1,2
194,2,2,2,1,3,1,2,1,1,1,1,0,1
195,1,2,4,2,3,3,3,4,3,3,3,4,2
196,2,1,1,2,2,1,2,1,1,2,1,2,1
197,3,3,3,4,3,4,4,2,3,2,1,2,2
198,4,3,3,4,2,4,4,4,4,4,3,3,3
199,2,4,3,4,1,3,2,4,2,1,1,1,2
200,2,1,1,1,3,3,2,1,1,3,3,4,1
201,3,4,4,4,2,3,4,4,4,1,4,4,3
202,3,3,3,4,3,4,4,3,4,1,4,4,3
203,1,1,3,1,1,3,1,2,1,3,3,2,1
206,4,3,3,4,3,4,3,4,3,2,4,2,3
208,2,2,1,1,3,1,1,2,1,2,1,1,1
209,2,3,2,3,2,4,2,2,3,4,3,4,2
210,2,3,1,2,3,2,1,2,1,0,1,1,1
211,1,1,2,2,3,2,2,1,1,3,1,1,1
214,4,4,3,3,4,3,4,4,3,4,4,4,3
215,0,1,0,1,1,1,0,0,0,1,2,1,1
216,3,2,3,3,2,1,1,3,4,2,2,1,2
218,1,1,1,1,1,1,1,0,0,0,1,2,1
220,1,2,3,3,2,3,2,1,2,1,2,2,2
221,2,3,3,3,3,4,3,4,3,1,3,2,2
222,2,3,1,2,4,4,2,2,4,3,4,4,2
223,4,4,4,3,4,2,4,2,1,1,2,1,2
224,1,1,1,1,1,2,2,1,2,1,0,0,1
225,2,2,2,1,4,3,3,2,3,2,1,4,2
228,3,2,3,4,1,1,1,4,4,3,4,4,2
229,4,4,3,3,1,3,3,4,4,3,2,3,3
230,3,4,2,3,4,3,3,1,2,1,1,3,2
231,2,3,1,1,2,4,2,1,2,2,2,2,1
232,3,4,4,2,4,3,3,2,2,4,4,2,2
233,1,1,1,1,1,1,1,1,2,2,1,2,1
234,3,3,2,3,1,3,3,3,4,4,4,4,2
235,3,2,2,2,1,1,2,1,1,1,0,0,1
236,4,4,4,2,3,3,2,2,4,4,2,3,2
237,2,4,1,4,2,3,2,2,2,4,3,3,2
238,2,3,4,3,1,3,1,1,0,0,0,0,1
239,3,3,2,2,1,1,2,2,1,1,1,2,1
241,2,2,1,4,4,2,1,3,3,1,4,4,2
242,2,2,2,4,4,1,2,3,4,4,4,3,2
243,2,2,3,1,1,1,2,1,0,2,1,2,1
244,2,3,3,3,4,1,2,4,3,3,4,2,2
245,4,4,4,3,4,4,2,2,2,4,3,2,2
246,2,3,3,2,2,3,1,2,2,4,2,3,2
250,4,4,4,4,2,4,3,4,4,4,4,4,3
251,1,3,2,2,1,1,1,1,1,2,1,1,1
252,4,4,4,1,1,3,4,4,4,3,1,3,3
254,1,2,1,2,1,1,1,2,2,3,3,1,1
257,2,1,1,2,4,2,1,2,2,2,2,2,1
259,2,2,1,1,3,4,2,3,2,2,2,4,2
261,3,4,4,4,2,2,4,4,3,4,3,3,3
262,3,3,3,3,2,4,3,4,3,3,3,3,2
264,2,3,1,1,4,1,1,2,2,1,2,4,1
265,4,3,2,4,3,4,4,2,3,4,4,2,3
267,4,4,4,3,4,4,4,4,3,4,3,3,3
268,2,2,4,2,1,2,2,1,3,1,0,2,1
270,4,3,2,3,1,4,4,2,2,3,3,2,2
271,2,1,1,2,1,2,0,2,0,2,3,3,1
273,4,4,4,2,4,3,1,2,2,0,1,0,2
276,4,4,4,4,4,3,4,4,4,4,3,4,3
278,1,1,1,2,2,3,2,0,2,1,1,0,1
279,4,4,4,4,4,4,4,4,3,3,4,4,3
280,2,2,2,2,2,2,2,2,1,1,2,3,1
281,1,2,2,3,2,1,2,3,2,2,4,3,2
282,3,2,3,3,3,1,1,1,0,1,1,4,1
283,4,4,3,3,4,4,4,4,4,4,3,3,3
285,3,3,3,2,2,1,4,4,3,4,4,2,2
286,4,4,3,4,4,4,4,4,4,1,2,4,3
287,3,1,3,1,1,3,1,3,1,2,1,1,1
288,4,2,2,1,2,1,2,1,0,2,1,2,1
289,2,1,2,2,2,1,2,3,2,3,1,2,2
290,1,1,1,1,1,1,2,1,1,1,1,1,1
292,3,1,3,2,2,1,3,2,4,3,2,2,2
294,4,4,2,3,3,4,3,4,4,4,4,4,3
296,3,4,3,4,3,2,3,4,4,3,4,1,3
297,1,2,4,3,3,4,3,4,3,1,2,2,2
298,2,3,3,3,2,3,2,2,2,2,3,2,2
300,2,2,2,2,2,3,1,2,1,1,1,1,1
301,2,2,3,3,4,1,3,3,4,3,2,1,2
303,1,1,2,1,1,1,2,1,1,1,1,2,1
304,3,4,3,4,3,1,4,3,4,4,2,0,3
305,4,3,1,2,2,1,1,2,1,1,1,1,1
306,2,1,1,4,3,1,1,1,1,1,1,1,1
309,4,2,2,1,1,3,3,1,4,1,1,1,1
310,4,3,3,2,4,4,4,1,2,1,2,2,2
311,1,0,0,3,4,3,1,1,1,3,1,0,1
312,1,1,3,2,2,3,2,3,3,3,2,3,2
313,2,2,3,3,3,3,4,2,4,4,4,4,2
316,2,3,3,3,2,2,3,3,2,2,2,1,2
318,4,3,2,4,4,1,4,2,4,4,3,3,3
320,2,3,2,3,3,2,2,3,3,3,3,3,2
321,1,4,3,4,3,4,3,3,4,2,4,4,3
323,2,3,2,3,4,3,2,3,2,3,3,4,2
324,2,2,1,1,2,2,2,2,2,2,1,2,1
325,1,4,4,3,3,3,4,4,4,4,4,2,3
326,3,1,2,2,1,1,4,2,2,2,2,3,2
327,1,3,1,1,1,1,3,3,3,2,2,1,1
329,3,4,4,4,3,3,4,4,3,4,4,4,3
330,1,2,2,2,4,1,1,1,1,1,1,1,1
333,1,2,1,1,1,2,2,2,2,2,1,1,1
334,4,4,4,4,4,4,4,4,4,4,3,4,3
335,2,2,2,1,3,3,2,3,4,3,3,3,2
336,2,2,2,2,2,4,2,2,2,1,2,3,2
337,1,1,1,1,1,1,1,3,2,2,1,2,1
339,4,3,1,3,2,4,4,4,4,2,3,4,3
340,2,1,1,1,1,4,1,2,1,2,1,1,1
341,1,2,1,1,2,1,2,1,1,1,2,1,1
342,1,1,1,1,1,1,1,1,1,2,2,4,1
343,4,3,4,2,4,4,2,3,2,2,3,4,2
344,3,4,3,4,3,1,4,2,4,4,2,1,3
345,1,1,1,2,1,0,1,2,3,1,1,2,1
348,2,2,3,2,4,1,4,3,3,4,4,1,2
349,4,4,4,4,4,4,4,3,3,1,4,3,3
351,3,3,4,2,2,1,4,3,1,3,2,3,2
352,3,2,1,1,1,1,0,0,0,0,4,0,1
353,1,1,1,1,2,1,2,1,1,2,3,2,1
354,2,3,2,1,2,3,4,3,2,4,4,4,2
355,2,2,4,2,4,4,4,3,2,2,3,2,2
356,4,2,3,2,3,4,3,3,3,1,2,2,2
357,2,1,2,1,1,1,1,1,1,1,1,1,1
358,0,2,1,0,1,1,3,1,3,1,4,3,1
359,4,3,3,3,1,2,2,2,4,4,4,3,2
361,1,1,1,0,1,0,1,1,1,0,1,0,1
362,1,0,0,0,0,0,0,0,0,0,0,0,1
363,3,3,2,3,3,3,4,4,4,4,4,4,3
364,4,3,2,3,4,4,4,3,3,3,4,4,3
365,3,4,4,4,3,1,3,4,3,2,1,4,3
366,2,1,1,1,1,1,1,1,2,0,1,0,1
367,3,1,3,2,1,4,4,4,3,4,4,4,2
369,1,2,1,2,1,1,2,3,3,1,1,0,1
370,3,4,4,3,2,4,4,2,1,2,1,0,2
371,4,3,2,2,2,4,1,2,1,2,2,2,2
372,3,1,2,2,2,0,2,2,4,2,3,2,2
373,2,1,2,2,2,1,1,1,0,1,2,4,1
374,1,1,2,2,3,3,3,3,3,2,2,2,2
376,2,1,1,1,3,4,2,2,3,3,2,4,2
377,1,1,1,0,2,2,1,1,0,1,1,1,1
379,2,3,4,3,4,3,4,3,2,3,1,1,2
380,3,3,3,4,3,3,3,3,2,4,2,4,2
381,4,4,4,3,2,4,4,4,4,3,0,3,3
382,4,4,4,4,3,2,3,2,3,2,1,3,3
383,4,4,4,4,4,4,4,4,4,4,4,3,3
386,2,3,3,2,2,2,1,4,1,3,3,3,2
387,4,3,4,3,4,4,4,4,4,4,4,4,3
