STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,state,S1,S2,S3,S4,S5,S6
5,1,0,0,0,0,6,6,0,6,0,0,0,0,0,1
5,2,0,0,0,0,0,10,0,4,0,1.48763943024048e-08,0,0.999999985123606,0,0
5,3,5,5,1,10,3,2,0,1,1,0,0,0,0,0
5,4,0,0,0,0,0,0,10,5,0,0,0,0,1,0
5,5,6,4,4,10,0,2,0,1,1,0,0,0,0,0
5,6,4,0,2,10,0,6,0,1,0.615028792089639,0.384971207910361,0,0,0,0
5,7,0,0,10,7,0,0,0,2,0,1,0,0,0,0
5,8,0,0,8,5,1,3,0,2,0,1,0,0,0,0
5,9,0,0,9,5,1,1,1,2,0,1,0,0,0,0
5,10,0,0,0,0,0,10,0,4,0,3.14703215756204e-08,0,0.999999968529678,0,0
5,11,0,0,0,0,0,10,0,4,0,9.80608684001404e-09,0,0.999999990193913,0,0
5,12,0,0,0,0,0,10,0,4,0,9.80608684001404e-09,0,0.999999990193913,0,0
5,13,0,0,0,0,0,0,10,5,0,0,0,0,1,0
5,14,0,0,10,7,0,0,1,2,0,1,0,0,0,0
5,15,0,0,10,4,0,0,0,2,0,1,0,0,0,0
5,16,0,0,6,10,0,0,6,2,0,0.998832889998712,0,0,0,0.00116711000128742
5,17,6,5,4,7,0,0,1,1,1,0,0,0,0,0
5,18,10,3,0,0,0,0,0,3,0,0,1,0,0,0
5,19,0,0,0,0,0,10,0,4,0,1.66826508507039e-08,0,0.999999983317349,0,0
5,20,0,0,0,0,0,0,10,5,0,0,0,0,1,0
5,21,0,0,0,0,0,0,10,5,0,0,0,0,1,0
5,22,0,0,0,0,0,0,10,5,0,0,0,0,1,0
5,23,0,0,0,0,0,0,10,5,0,0,0,0,1,0
7,44,0,0,0,0,0,10,0,4,0,2.32968545741084e-08,0,0.999999976703145,0,0
7,45,0,0,0,0,0,10,0,4,0,9.80608684001404e-09,0,0.999999990193913,0,0
7,46,0,0,0,0,0,10,0,4,0,9.80608684001404e-09,0,0.999999990193913,0,0
7,47,0,0,0,0,0,10,0,4,0,9.80608684001404e-09,0,0.999999990193913,0,0
7,48,1,8,0,0,5,1,0,3,0.000519010867356926,0,0.999480989132643,0,0,0
7,49,0,0,0,0,0,10,0,4,0,1.66826508507039e-08,0,0.999999983317349,0,0
7,50,1,10,0,0,5,1,0,3,0.000368884201892697,1.71382183658041e-08,0.999631098659889,0,0,0
7,51,1,6,0,0,5,1,0,3,0.000565527497248229,1.59370179229372e-09,0.99943447090905,0,0,0
7,52,1,4,0,0,5,0,0,3,4.78138700913667e-05,0,0.999952186129909,0,0,0
7,53,2,10,0,0,0,9,0,3,7.05845989321442e-05,1.63636851068757e-10,0.999929415237431,0,0,0
7,54,9,3,0,0,0,2,0,3,3.70549350826565e-05,0,0.999962945064917,0,0,0
7,55,3,10,8,6,0,1,0,1,1,0,0,0,0,0
7,56,0,0,0,0,0,0,10,5,0,0,0,0,1,0
7,57,0,0,0,0,0,10,0,4,0,2.32968545741084e-08,0,0.999999976703145,0,0
7,58,10,9,0,0,0,0,0,3,0,0,1,0,0,0
7,59,5,9,3,7,1,3,0,1,1,0,0,0,0,0
7,60,0,0,0,0,0,10,0,4,0,2.22581029540386e-08,0,0.999999977741897,0,0
7,61,0,0,0,0,0,10,0,4,0,9.80608684001404e-09,0,0.999999990193913,0,0
7,62,0,0,0,0,0,10,0,4,0,9.80608684001404e-09,0,0.999999990193913,0,0
7,63,0,0,0,0,5,1,0,6,0,5.73900476736857e-06,0,0,0,0.999994260995233
