CASE_ID,ACTIVITY_NAME,TIMESTAMP
178,MCQ_CO,2014-08-01 12:46:33
183,CONTENT_ACCESS,2014-08-01 12:46:33
183,CONTENT_ACCESS,2014-08-01 12:46:36
183,CONTENT_ACCESS,2014-08-01 12:46:38
183,CONTENT_ACCESS,2014-08-01 12:46:41
183,CONTENT_ACCESS,2014-08-01 12:46:45
183,CONTENT_ACCESS,2014-08-01 12:46:48
178,ORIENT,2014-08-01 12:48:20
183,CONTENT_ACCESS,2014-08-01 12:49:36
183,CONTENT_ACCESS,2014-08-01 12:49:40
183,CONTENT_ACCESS,2014-08-01 12:50:01
183,CONTENT_ACCESS,2014-08-01 12:50:03
183,ORIENT,2014-08-01 12:50:45
178,MCQ_CO,2014-08-01 12:50:50
178,MCQ_CO,2014-08-01 12:51:00
24,CONTENT_ACCESS,2014-08-01 12:55:47
178,MCQ_CO,2014-08-01 12:58:54
178,MCQ_IN,2014-08-01 13:00:31
178,MCQ_IN,2014-08-01 13:00:51
178,MCQ_CO,2014-08-01 13:02:26
24,CONTENT_ACCESS,2014-08-01 13:02:31
24,CONTENT_ACCESS,2014-08-01 13:04:56
148,ORIENT,2014-08-01 13:08:42
148,CONTENT_ACCESS,2014-08-01 13:31:00
178,CONTENT_ACCESS,2014-08-01 13:31:06
178,CONTENT_ACCESS,2014-08-01 13:31:09
24,CONTENT_ACCESS,2014-08-01 13:31:11
178,CONTENT_ACCESS,2014-08-01 13:31:18
30,CONTENT_ACCESS,2014-08-01 13:31:22
183,CONTENT_ACCESS,2014-08-01 13:31:44
24,CONTENT_ACCESS,2014-08-01 13:42:08
178,CONTENT_ACCESS,2014-08-01 13:49:54
30,CONTENT_ACCESS,2014-08-01 13:51:53
148,CONTENT_ACCESS,2014-08-01 13:51:54
183,CONTENT_ACCESS,2014-08-01 13:51:58
178,CONTENT_ACCESS,2014-08-01 13:52:18
21,ORIENT,2014-08-01 14:05:53
183,CONTENT_ACCESS,2014-08-01 14:19:24
183,CONTENT_ACCESS,2014-08-01 14:20:18
21,ORIENT,2014-08-01 14:22:39
21,CONTENT_ACCESS,2014-08-01 14:23:38
21,ORIENT,2014-08-01 14:23:42
21,CONTENT_ACCESS,2014-08-01 14:23:54
21,ORIENT,2014-08-01 14:23:58
21,CONTENT_ACCESS,2014-08-01 14:24:37
21,CONTENT_ACCESS,2014-08-01 14:24:57
21,CONTENT_ACCESS,2014-08-01 14:25:01
21,CONTENT_ACCESS,2014-08-01 14:25:56
21,CONTENT_ACCESS,2014-08-01 14:26:25
21,CONTENT_ACCESS,2014-08-01 14:26:29
21,CONTENT_ACCESS,2014-08-01 14:26:31
21,CONTENT_ACCESS,2014-08-01 14:26:33
21,CONTENT_ACCESS,2014-08-01 14:26:35
21,CONTENT_ACCESS,2014-08-01 14:26:37
21,CONTENT_ACCESS,2014-08-01 14:27:21
21,CONTENT_ACCESS,2014-08-01 14:27:30
21,CONTENT_ACCESS,2014-08-01 14:27:44
183,CONTENT_ACCESS,2014-08-01 14:40:56
183,CONTENT_ACCESS,2014-08-01 14:41:25
183,MCQ_CO,2014-08-01 14:43:37
183,MCQ_CO,2014-08-01 14:44:04
21,CONTENT_ACCESS,2014-08-01 14:50:11
21,CONTENT_ACCESS,2014-08-01 14:53:08
21,CONTENT_ACCESS,2014-08-01 14:53:10
21,CONTENT_ACCESS,2014-08-01 14:53:13
21,CONTENT_ACCESS,2014-08-01 14:53:15
21,CONTENT_ACCESS,2014-08-01 14:53:17
21,CONTENT_ACCESS,2014-08-01 14:53:33
21,CONTENT_ACCESS,2014-08-01 14:53:36
21,CONTENT_ACCESS,2014-08-01 14:53:36
21,CONTENT_ACCESS,2014-08-01 14:53:37
21,CONTENT_ACCESS,2014-08-01 14:53:38
21,CONTENT_ACCESS,2014-08-01 14:54:59
21,CONTENT_ACCESS,2014-08-01 14:55:02
21,CONTENT_ACCESS,2014-08-01 14:55:05
21,CONTENT_ACCESS,2014-08-01 14:55:07
21,CONTENT_ACCESS,2014-08-01 15:21:38
183,CONTENT_ACCESS,2014-08-01 15:56:17
183,CONTENT_ACCESS,2014-08-01 15:56:24
183,CONTENT_ACCESS,2014-08-01 15:56:24
183,CONTENT_ACCESS,2014-08-01 15:56:25
183,CONTENT_ACCESS,2014-08-01 15:57:53
183,MCQ_CO,2014-08-01 15:57:57
183,MCQ_CO,2014-08-01 15:58:07
183,MCQ_CO,2014-08-01 16:04:22
183,MCQ_CO,2014-08-01 16:04:41
183,MCQ_IN,2014-08-01 16:04:56
183,MCQ_CO,2014-08-01 16:05:15
183,MCQ_SR,2014-08-01 16:05:17
183,MCQ_SR,2014-08-01 16:05:18
183,MCQ_CO,2014-08-01 16:05:22
183,MCQ_CO,2014-08-01 16:05:38
183,CONTENT_ACCESS,2014-08-01 16:07:44
183,CONTENT_ACCESS,2014-08-01 16:14:27
183,CONTENT_ACCESS,2014-08-01 16:14:37
183,CONTENT_ACCESS,2014-08-01 16:15:16
183,CONTENT_ACCESS,2014-08-01 16:15:39
183,CONTENT_ACCESS,2014-08-01 16:15:39
21,CONTENT_ACCESS,2014-08-01 16:53:06
345,ORIENT,2014-08-01 17:05:28
345,DBOARD_ACCESS,2014-08-01 17:06:39
345,ORIENT,2014-08-01 17:06:54
345,ORIENT,2014-08-01 17:15:11
345,CONTENT_ACCESS,2014-08-01 17:16:16
345,CONTENT_ACCESS,2014-08-01 17:17:03
345,CONTENT_ACCESS,2014-08-01 17:17:15
345,CONTENT_ACCESS,2014-08-01 17:19:19
345,CONTENT_ACCESS,2014-08-01 17:20:25
345,CONTENT_ACCESS,2014-08-01 17:36:42
345,CONTENT_ACCESS,2014-08-01 17:37:25
345,CONTENT_ACCESS,2014-08-01 17:39:17
345,CONTENT_ACCESS,2014-08-01 17:42:54
345,CONTENT_ACCESS,2014-08-01 17:42:56
345,CONTENT_ACCESS,2014-08-01 17:42:57
345,CONTENT_ACCESS,2014-08-01 17:42:58
345,CONTENT_ACCESS,2014-08-01 17:43:02
345,CONTENT_ACCESS,2014-08-01 17:43:03
345,CONTENT_ACCESS,2014-08-01 17:52:59
345,CONTENT_ACCESS,2014-08-01 17:53:50
345,CONTENT_ACCESS,2014-08-01 17:53:52
345,CONTENT_ACCESS,2014-08-01 17:53:54
345,CONTENT_ACCESS,2014-08-01 17:53:56
345,CONTENT_ACCESS,2014-08-01 17:53:58
345,CONTENT_ACCESS,2014-08-01 17:54:01
345,CONTENT_ACCESS,2014-08-01 17:54:03
345,CONTENT_ACCESS,2014-08-01 17:54:06
345,CONTENT_ACCESS,2014-08-01 17:54:08
345,CONTENT_ACCESS,2014-08-01 17:54:11
345,CONTENT_ACCESS,2014-08-01 17:54:13
345,CONTENT_ACCESS,2014-08-01 17:54:14
345,CONTENT_ACCESS,2014-08-01 17:54:16
345,CONTENT_ACCESS,2014-08-01 17:54:19
345,CONTENT_ACCESS,2014-08-01 17:54:21
345,CONTENT_ACCESS,2014-08-01 17:54:24
345,CONTENT_ACCESS,2014-08-01 17:54:30
345,ORIENT,2014-08-01 17:55:45
345,CONTENT_ACCESS,2014-08-01 17:56:04
345,CONTENT_ACCESS,2014-08-01 17:56:06
21,CONTENT_ACCESS,2014-08-01 20:24:22
18,ORIENT,2014-08-01 20:28:32
18,ORIENT,2014-08-01 20:33:23
18,CONTENT_ACCESS,2014-08-01 21:30:47
18,CONTENT_ACCESS,2014-08-01 21:30:47
18,CONTENT_ACCESS,2014-08-01 21:30:48
18,CONTENT_ACCESS,2014-08-01 21:30:50
18,ORIENT,2014-08-01 21:30:55
18,CONTENT_ACCESS,2014-08-01 21:32:00
18,CONTENT_ACCESS,2014-08-01 21:32:00
18,CONTENT_ACCESS,2014-08-01 21:32:01
18,CONTENT_ACCESS,2014-08-01 21:32:55
18,CONTENT_ACCESS,2014-08-01 21:33:32
18,CONTENT_ACCESS,2014-08-01 21:33:38
18,CONTENT_ACCESS,2014-08-01 21:33:42
18,CONTENT_ACCESS,2014-08-01 21:33:49
18,CONTENT_ACCESS,2014-08-01 21:33:52
18,CONTENT_ACCESS,2014-08-01 21:33:56
18,CONTENT_ACCESS,2014-08-01 21:56:33
18,CONTENT_ACCESS,2014-08-01 21:56:37
18,CONTENT_ACCESS,2014-08-01 21:56:45
21,CONTENT_ACCESS,2014-08-02 08:16:39
21,CONTENT_ACCESS,2014-08-02 08:16:41
21,CONTENT_ACCESS,2014-08-02 08:19:51
21,CONTENT_ACCESS,2014-08-02 08:20:41
21,MCQ_CO,2014-08-02 08:25:52
21,MCQ_CO,2014-08-02 08:26:30
183,ORIENT,2014-08-02 13:51:15
18,CONTENT_ACCESS,2014-08-02 14:09:41
18,CONTENT_ACCESS,2014-08-02 14:09:42
18,CONTENT_ACCESS,2014-08-02 14:10:08
18,CONTENT_ACCESS,2014-08-02 14:10:11
18,CONTENT_ACCESS,2014-08-02 14:13:22
18,CONTENT_ACCESS,2014-08-02 14:13:32
18,CONTENT_ACCESS,2014-08-02 14:13:34
18,CONTENT_ACCESS,2014-08-02 14:13:38
18,CONTENT_ACCESS,2014-08-02 14:13:42
18,CONTENT_ACCESS,2014-08-02 14:13:45
18,CONTENT_ACCESS,2014-08-02 14:13:47
18,CONTENT_ACCESS,2014-08-02 14:13:49
18,CONTENT_ACCESS,2014-08-02 14:13:51
18,CONTENT_ACCESS,2014-08-02 14:13:56
18,CONTENT_ACCESS,2014-08-02 15:05:45
18,CONTENT_ACCESS,2014-08-02 15:05:45
18,CONTENT_ACCESS,2014-08-02 15:05:46
18,CONTENT_ACCESS,2014-08-02 15:09:13
18,CONTENT_ACCESS,2014-08-02 15:09:14
18,CONTENT_ACCESS,2014-08-02 15:09:15
18,CONTENT_ACCESS,2014-08-02 15:10:03
18,CONTENT_ACCESS,2014-08-02 15:10:06
18,CONTENT_ACCESS,2014-08-02 15:10:07
18,CONTENT_ACCESS,2014-08-02 15:10:07
18,CONTENT_ACCESS,2014-08-02 15:13:10
18,CONTENT_ACCESS,2014-08-02 15:13:13
148,CONTENT_ACCESS,2014-08-02 16:34:48
148,CONTENT_ACCESS,2014-08-02 16:37:06
148,CONTENT_ACCESS,2014-08-02 16:37:47
148,CONTENT_ACCESS,2014-08-02 16:37:47
148,CONTENT_ACCESS,2014-08-02 16:37:48
148,CONTENT_ACCESS,2014-08-02 16:38:19
148,CONTENT_ACCESS,2014-08-02 16:38:35
148,MCQ_CO,2014-08-02 16:43:06
148,MCQ_SR,2014-08-02 16:43:09
148,MCQ_CO,2014-08-02 16:43:27
148,MCQ_CO,2014-08-02 16:44:09
148,MCQ_CO,2014-08-02 16:46:12
148,MCQ_IN,2014-08-02 16:48:22
148,MCQ_SR,2014-08-02 16:48:24
148,CONTENT_ACCESS,2014-08-02 16:49:33
148,CONTENT_ACCESS,2014-08-02 16:50:33
148,MCQ_IN,2014-08-02 16:50:42
148,MCQ_SR,2014-08-02 16:50:43
148,MCQ_CO,2014-08-02 16:50:47
148,MCQ_IN,2014-08-02 16:51:01
