user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13
172,5,3,2,1,2,1,5,3,4,1,1,3
174,2,3,3,2,1,2,1,4,1,1,4,1
175,NA,1,NA,NA,NA,4,4,2,2,NA,NA,1
176,2,3,2,1,1,2,3,1,4,3,2,1
177,4,1,3,4,2,3,4,1,4,2,4,1
178,2,3,5,4,2,3,3,2,4,2,4,2
180,2,2,1,3,2,1,2,3,5,4,1,1
181,1,2,2,2,2,3,3,2,2,3,2,1
182,3,2,1,1,2,2,4,1,4,2,4,1
183,2,3,2,1,2,1,2,3,3,1,1,3
184,5,4,2,4,2,3,4,4,2,1,4,1
185,5,3,1,3,2,1,4,2,4,3,2,1
186,5,4,2,4,2,4,3,2,4,2,4,3
187,5,3,5,2,2,2,1,4,4,2,3,1
188,5,3,3,2,3,1,2,2,1,4,1,4
189,2,3,2,4,2,1,4,3,4,1,1,5
190,1,4,5,4,1,4,1,4,2,2,4,4
191,5,3,3,1,2,4,1,3,3,1,4,1
192,1,4,3,2,2,2,5,2,3,2,3,1
193,3,4,2,4,2,4,4,1,4,3,4,3
194,3,2,1,3,4,1,2,3,2,4,1,2
195,3,2,2,1,3,1,5,3,4,1,1,4
196,3,2,1,2,4,2,4,1,4,3,4,1
197,3,4,4,4,2,3,5,2,4,2,4,1
198,3,3,1,1,4,1,5,3,4,3,4,1
199,5,4,3,2,2,3,4,2,2,3,4,4
200,5,1,3,2,5,4,4,2,1,2,4,1
201,3,3,2,4,2,4,4,2,1,2,3,1
202,2,4,2,1,2,1,5,3,3,1,1,1
204,1,1,5,2,2,4,4,NA,2,3,2,1
205,2,3,1,1,2,1,3,2,1,2,4,1
206,4,1,5,4,2,4,4,2,4,3,4,3
207,2,3,1,1,2,1,1,3,3,1,1,3
208,2,3,2,1,2,1,2,3,3,2,4,3
209,3,2,1,3,1,1,2,3,3,4,1,1
210,3,2,1,2,4,3,2,3,4,2,NA,2
211,2,2,2,2,4,3,1,4,4,2,3,3
213,2,3,2,2,2,1,5,3,3,1,1,2
215,2,3,5,2,1,2,5,4,1,2,4,1
216,2,3,2,1,2,1,2,3,3,1,1,3
217,3,3,1,1,2,2,1,1,1,1,3,5
218,1,1,5,1,2,4,4,2,2,3,2,1
219,1,1,4,4,1,4,4,2,2,3,2,4
220,5,4,5,2,2,3,5,3,3,1,1,4
222,4,3,5,4,2,3,4,4,1,2,4,4
223,5,4,2,1,1,1,3,1,2,1,2,3
224,1,1,5,4,2,4,NA,4,2,2,4,1
226,4,3,1,1,3,1,5,3,3,1,1,3
227,5,4,2,4,2,4,4,1,3,1,2,3
228,3,3,1,4,2,1,2,3,3,1,1,4
229,2,3,2,4,5,4,1,2,4,2,4,5
230,5,1,3,4,2,4,3,2,2,2,1,1
232,5,3,2,2,1,1,1,2,4,2,3,1
234,5,3,3,2,1,4,3,2,1,1,4,4
235,5,1,NA,4,2,1,3,2,4,2,4,4
236,5,4,3,2,1,2,1,1,4,2,4,1
237,5,2,2,2,2,1,1,2,1,2,3,1
239,5,3,5,4,2,3,3,2,4,2,3,1
240,3,2,1,1,2,3,5,1,2,1,1,4
241,2,2,1,1,2,4,5,3,4,1,1,4
242,5,3,1,4,4,3,5,1,4,1,4,3
243,4,4,5,4,2,4,1,4,1,2,3,1
244,1,3,4,4,2,4,3,NA,3,1,NA,1
245,NA,3,2,4,3,2,1,4,4,1,3,5
247,3,3,1,3,4,1,5,3,3,1,1,3
248,4,3,2,4,1,3,5,3,2,3,2,1
249,2,1,3,4,2,4,5,NA,2,1,2,1
252,4,3,5,4,5,2,4,2,1,3,4,1
254,NA,1,3,4,2,2,4,2,2,3,2,1
256,NA,1,4,4,2,4,4,2,NA,NA,2,1
257,5,3,2,1,1,1,5,3,2,1,4,1
258,1,1,4,4,2,2,4,2,2,2,4,1
259,5,1,2,4,2,3,4,2,1,3,3,1
260,4,1,NA,4,1,4,3,2,2,NA,NA,1
261,4,4,2,4,3,3,4,4,NA,3,4,1
262,2,3,2,4,5,4,5,2,2,2,4,1
263,2,3,1,1,1,3,5,3,1,1,1,4
266,4,3,2,3,4,1,2,2,3,2,1,4
267,5,4,4,2,2,2,3,2,NA,2,4,5
268,4,2,4,NA,2,4,4,NA,NA,3,2,1
269,2,2,1,2,1,3,5,4,1,1,3,4
272,4,4,2,2,3,2,5,2,1,2,4,4
274,5,3,5,4,2,3,4,2,2,3,2,3
275,2,4,3,1,1,2,1,2,1,3,4,1
281,1,3,2,2,2,2,1,4,1,1,2,1
