user_id,new.cl.w2,new.cl.w3,new.cl.w4,new.cl.w5,new.cl.w6,new.cl.w7,new.cl.w8,new.cl.w9,new.cl.w10,new.cl.w11,new.cl.w12,new.cl.w13
117,A_POS-DIFF,A_NEG-DIFF,HA_BAL_MC,MA_ALL-ACT_BAL,A_POS-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,SAS-ONLY_BAL,A_POS-DIFF
118,NA,NA,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,A_POS-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
119,A_POS-DIFF,A_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_BAL
121,DISENGAGED,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_BAL,NA,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,SAS-ONLY_BAL
122,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,HA_BAL,SAS-ONLY_BAL,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
123,MA_ALL-ACT_BAL,A_NEG-DIFF,HA_BAL_MC,MA_ALL-ACT_BAL,HA_BAL_MC,MA_MANY-ACT_BAL_MC,MA_ALL-ACT_BAL,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_BAL
125,A_POS-DIFF,SAS-ONLY_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
127,MA_ALL-ACT_BAL,DISENGAGED,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,MA_MANY-ACT_BAL_MC,SAS-ONLY_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
128,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,HA_BAL_MC,MA_ALL-ACT_BAL,HA_BAL_MC,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,A_NEG-DIFF,HA_NEG-DIFF_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_BAL
130,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF,SAS-ONLY_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
