CASE_ID,ACTIVITY_NAME,TIMESTAMP,week
275,EXE_CO,2014-08-03 21:08:08,2
275,EXE_IN,2014-08-03 21:10:19,2
275,EXE_CO,2014-08-03 21:10:40,2
275,EXE_IN,2014-08-03 21:10:45,2
275,EXE_IN,2014-08-03 21:10:50,2
275,EXE_IN,2014-08-03 21:11:01,2
275,EXE_IN,2014-08-03 21:11:15,2
275,EXE_IN,2014-08-03 21:11:19,2
275,EXE_CO,2014-08-03 21:11:30,2
275,EXE_IN,2014-08-03 21:11:49,2
275,EXE_IN,2014-08-03 21:12:13,2
275,EXE_IN,2014-08-03 21:12:18,2
275,EXE_CO,2014-08-03 21:12:22,2
275,EXE_IN,2014-08-03 21:12:29,2
275,EXE_IN,2014-08-03 21:13:18,2
275,EXE_CO,2014-08-03 21:13:25,2
275,EXE_IN,2014-08-03 21:13:32,2
275,EXE_IN,2014-08-03 21:13:38,2
275,EXE_IN,2014-08-03 21:13:46,2
275,EXE_CO,2014-08-03 21:13:51,2
275,EXE_IN,2014-08-03 21:13:55,2
275,EXE_IN,2014-08-03 21:14:05,2
275,EXE_CO,2014-08-03 21:14:09,2
275,EXE_IN,2014-08-03 21:14:13,2
275,EXE_IN,2014-08-03 21:14:39,2
275,EXE_CO,2014-08-03 21:14:48,2
275,EXE_CO,2014-08-03 21:15:04,2
275,EXE_IN,2014-08-03 21:15:11,2
275,EXE_CO,2014-08-03 21:15:21,2
275,EXE_IN,2014-08-03 21:15:27,2
275,EXE_CO,2014-08-03 21:15:31,2
275,EXE_IN,2014-08-03 21:15:40,2
275,EXE_IN,2014-08-03 21:15:44,2
275,EXE_IN,2014-08-03 21:15:48,2
275,EXE_IN,2014-08-03 21:16:16,2
275,EXE_CO,2014-08-03 21:16:33,2
275,EXE_IN,2014-08-03 21:16:38,2
275,EXE_CO,2014-08-03 21:16:42,2
275,EXE_CO,2014-08-03 21:16:46,2
275,EXE_IN,2014-08-03 21:16:50,2
275,EXE_IN,2014-08-03 21:17:00,2
275,EXE_CO,2014-08-03 21:17:03,2
275,EXE_CO,2014-08-03 21:17:07,2
275,EXE_IN,2014-08-03 21:17:11,2
275,EXE_IN,2014-08-03 21:17:14,2
275,EXE_CO,2014-08-03 21:17:16,2
275,EXE_IN,2014-08-03 21:17:29,2
275,EXE_CO,2014-08-03 21:17:36,2
275,EXE_IN,2014-08-03 21:17:42,2
275,EXE_CO,2014-08-03 21:17:56,2
275,EXE_CO,2014-08-03 21:18:00,2
275,EXE_IN,2014-08-03 21:18:08,2
275,EXE_CO,2014-08-03 21:18:15,2
275,EXE_CO,2014-08-03 21:18:19,2
275,EXE_IN,2014-08-03 21:18:31,2
275,EXE_IN,2014-08-03 21:18:34,2
275,EXE_CO,2014-08-03 21:18:44,2
275,EXE_CO,2014-08-03 21:18:48,2
275,EXE_CO,2014-08-03 21:18:53,2
275,EXE_CO,2014-08-03 21:18:56,2
275,EXE_CO,2014-08-03 21:19:01,2
275,EXE_CO,2014-08-03 21:19:12,2
275,EXE_CO,2014-08-03 21:19:15,2
275,EXE_IN,2014-08-03 21:19:20,2
275,EXE_IN,2014-08-03 21:19:31,2
275,EXE_CO,2014-08-03 21:19:36,2
275,EXE_CO,2014-08-03 21:19:41,2
275,EXE_IN,2014-08-03 21:19:45,2
275,EXE_CO,2014-08-03 21:19:53,2
275,EXE_CO,2014-08-03 21:19:57,2
275,EXE_CO,2014-08-03 21:20:02,2
275,EXE_IN,2014-08-03 21:20:11,2
275,EXE_IN,2014-08-03 21:20:14,2
275,EXE_CO,2014-08-03 21:20:18,2
275,EXE_IN,2014-08-03 21:20:21,2
275,EXE_IN,2014-08-03 21:20:24,2
275,EXE_CO,2014-08-03 21:20:29,2
167,ORIENT,2014-08-03 21:23:55,2
167,CONTENT_ACCESS,2014-08-03 21:24:03,2
167,CONTENT_ACCESS,2014-08-03 21:24:04,2
167,CONTENT_ACCESS,2014-08-03 21:24:05,2
167,CONTENT_ACCESS,2014-08-03 21:24:06,2
167,CONTENT_ACCESS,2014-08-03 21:26:09,2
167,CONTENT_ACCESS,2014-08-03 21:26:09,2
167,CONTENT_ACCESS,2014-08-03 21:26:10,2
167,CONTENT_ACCESS,2014-08-03 21:26:11,2
167,CONTENT_ACCESS,2014-08-03 21:28:34,2
167,CONTENT_ACCESS,2014-08-03 21:28:42,2
167,CONTENT_ACCESS,2014-08-03 21:28:42,2
167,CONTENT_ACCESS,2014-08-03 21:29:22,2
167,CONTENT_ACCESS,2014-08-03 21:29:23,2
167,CONTENT_ACCESS,2014-08-03 21:29:24,2
167,CONTENT_ACCESS,2014-08-03 21:29:26,2
167,CONTENT_ACCESS,2014-08-03 21:30:11,2
167,CONTENT_ACCESS,2014-08-03 21:30:12,2
167,CONTENT_ACCESS,2014-08-03 21:30:12,2
167,CONTENT_ACCESS,2014-08-03 21:30:13,2
219,CONTENT_ACCESS,2014-08-03 21:34:43,2
219,CONTENT_ACCESS,2014-08-03 21:34:43,2
219,CONTENT_ACCESS,2014-08-03 21:34:44,2
219,CONTENT_ACCESS,2014-08-03 21:34:44,2
298,CONTENT_ACCESS,2014-08-03 21:46:27,2
298,CONTENT_ACCESS,2014-08-03 21:46:34,2
298,CONTENT_ACCESS,2014-08-03 21:46:44,2
298,CONTENT_ACCESS,2014-08-03 21:46:46,2
298,CONTENT_ACCESS,2014-08-03 21:46:48,2
298,CONTENT_ACCESS,2014-08-03 21:46:56,2
298,CONTENT_ACCESS,2014-08-03 21:47:02,2
298,CONTENT_ACCESS,2014-08-03 21:47:06,2
298,CONTENT_ACCESS,2014-08-03 21:55:39,2
219,CONTENT_ACCESS,2014-08-03 21:56:20,2
219,CONTENT_ACCESS,2014-08-03 21:57:12,2
219,CONTENT_ACCESS,2014-08-03 22:01:47,2
219,CONTENT_ACCESS,2014-08-03 22:01:47,2
219,CONTENT_ACCESS,2014-08-03 22:01:48,2
219,CONTENT_ACCESS,2014-08-03 22:01:48,2
219,CONTENT_ACCESS,2014-08-03 22:04:19,2
298,CONTENT_ACCESS,2014-08-03 22:05:17,2
298,CONTENT_ACCESS,2014-08-03 22:05:25,2
219,CONTENT_ACCESS,2014-08-03 22:05:29,2
298,CONTENT_ACCESS,2014-08-03 22:05:50,2
219,ORIENT,2014-08-03 22:08:46,2
381,CONTENT_ACCESS,2014-08-03 22:25:05,2
381,CONTENT_ACCESS,2014-08-03 22:25:05,2
381,CONTENT_ACCESS,2014-08-03 22:25:06,2
298,MCQ_IN,2014-08-03 23:02:14,2
298,MCQ_IN,2014-08-03 23:02:18,2
298,MCQ_CO,2014-08-03 23:02:27,2
298,MCQ_IN,2014-08-03 23:02:46,2
298,MCQ_SR,2014-08-03 23:02:48,2
298,MCQ_CO,2014-08-03 23:02:52,2
298,MCQ_CO,2014-08-03 23:02:58,2
298,MCQ_IN,2014-08-03 23:03:02,2
298,MCQ_CO,2014-08-03 23:03:06,2
51,CONTENT_ACCESS,2014-08-03 23:11:59,2
358,CONTENT_ACCESS,2014-08-04 01:14:44,2
358,CONTENT_ACCESS,2014-08-04 01:14:47,2
358,CONTENT_ACCESS,2014-08-04 01:14:49,2
358,CONTENT_ACCESS,2014-08-04 01:14:59,2
360,ORIENT,2014-08-04 05:53:54,2
150,CONTENT_ACCESS,2014-08-04 09:27:38,2
144,CONTENT_ACCESS,2014-08-04 10:25:29,2
144,CONTENT_ACCESS,2014-08-04 10:26:59,2
144,CONTENT_ACCESS,2014-08-04 10:58:29,2
219,CONTENT_ACCESS,2014-08-04 11:31:20,2
51,CONTENT_ACCESS,2014-08-04 12:05:37,2
237,MCQ_CO,2014-08-04 14:00:32,2
237,MCQ_CO,2014-08-04 14:02:13,2
237,MCQ_CO,2014-08-04 14:02:20,2
237,MCQ_CO,2014-08-04 14:02:31,2
237,MCQ_CO,2014-08-04 14:02:34,2
237,MCQ_CO,2014-08-04 14:02:36,2
340,ORIENT,2014-08-04 16:13:47,2
64,CONTENT_ACCESS,2014-08-04 17:31:19,2
64,CONTENT_ACCESS,2014-08-04 17:36:13,2
64,CONTENT_ACCESS,2014-08-04 17:43:45,2
323,ORIENT,2014-08-04 18:55:52,2
323,ORIENT,2014-08-04 18:55:56,2
322,CONTENT_ACCESS,2014-08-04 19:25:07,2
322,CONTENT_ACCESS,2014-08-04 19:26:14,2
360,DBOARD_ACCESS,2014-08-04 19:31:31,2
360,DBOARD_ACCESS,2014-08-04 19:31:42,2
360,DBOARD_ACCESS,2014-08-04 19:31:45,2
360,DBOARD_ACCESS,2014-08-04 19:31:49,2
360,DBOARD_ACCESS,2014-08-04 19:31:53,2
360,DBOARD_ACCESS,2014-08-04 19:32:05,2
322,CONTENT_ACCESS,2014-08-04 19:34:07,2
237,CONTENT_ACCESS,2014-08-04 20:08:07,2
237,CONTENT_ACCESS,2014-08-04 20:09:04,2
237,CONTENT_ACCESS,2014-08-04 20:27:11,2
237,MCQ_CO,2014-08-04 20:29:52,2
275,DBOARD_ACCESS,2014-08-04 20:34:29,2
237,CONTENT_ACCESS,2014-08-04 21:11:21,2
237,VIDEO_PLAY,2014-08-04 21:11:44,2
237,VIDEO_PLAY,2014-08-04 21:11:48,2
237,VIDEO_PLAY,2014-08-04 21:11:54,2
237,VIDEO_PLAY,2014-08-04 21:11:54,2
237,VIDEO_PLAY,2014-08-04 21:12:02,2
237,VIDEO_PLAY,2014-08-04 21:12:02,2
237,VIDEO_PLAY,2014-08-04 21:12:02,2
237,VIDEO_PLAY,2014-08-04 21:12:15,2
237,VIDEO_PLAY,2014-08-04 21:12:15,2
237,VIDEO_PLAY,2014-08-04 21:13:31,2
