user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13,lca5
161,NA,NA,NA,NA,1,2,5,4,2,3,1,2,1
162,4,3,3,2,1,2,5,4,1,3,4,4,1
164,5,4,3,2,2,2,5,4,3,3,2,5,1
165,5,5,3,4,1,3,5,4,5,4,1,4,1
166,2,1,2,1,4,1,2,2,3,2,1,3,4
167,4,1,4,3,1,3,5,4,5,3,2,4,1
169,5,NA,NA,1,3,1,2,2,4,1,2,1,4
170,5,4,5,4,1,NA,4,1,NA,4,3,1,3
172,5,2,2,1,1,1,2,3,3,1,2,4,5
174,2,3,3,2,2,2,1,4,1,2,1,1,1
175,NA,5,NA,NA,NA,3,4,1,2,NA,NA,1,3
176,2,3,2,1,1,2,5,2,3,4,3,2,2
177,4,4,3,4,1,3,4,1,1,2,3,2,3
178,2,3,4,4,3,3,5,1,1,3,3,3,3
180,2,2,1,3,1,1,2,3,4,1,2,4,5
181,1,3,2,2,3,4,5,1,2,4,3,1,3
182,3,2,1,1,3,3,4,2,1,3,1,1,2
183,2,3,2,1,1,1,2,2,3,1,2,4,4
184,5,1,2,1,1,3,3,2,2,2,1,1,2
185,5,2,1,3,1,4,3,1,3,4,3,1,2
186,5,4,2,4,1,3,5,1,1,3,1,4,1
187,5,3,4,2,3,3,1,4,1,3,1,1,1
188,5,3,3,2,4,1,2,1,5,1,2,4,4
189,2,3,2,4,1,1,3,2,3,2,2,2,4
190,1,1,4,4,1,3,1,4,2,3,3,4,3
191,5,3,3,1,3,3,1,3,3,2,3,1,3
192,1,1,3,2,3,2,2,1,3,3,1,1,1
193,3,4,4,4,3,3,4,1,1,4,3,4,3
194,3,2,1,3,4,1,2,3,2,1,2,3,5
195,3,2,2,1,5,1,2,3,3,1,2,4,5
196,3,2,1,2,4,2,4,1,1,4,3,1,2
197,3,1,5,1,3,3,2,1,1,3,1,1,3
198,3,3,1,1,1,1,3,3,1,4,3,1,2
199,5,1,3,2,3,3,4,1,2,4,1,4,3
200,5,1,3,2,3,3,4,1,5,2,1,1,1
201,3,2,2,4,3,3,4,1,1,3,4,1,3
202,2,1,2,1,3,1,2,2,3,1,2,1,4
204,1,5,4,2,1,3,4,NA,2,4,3,1,3
205,2,3,1,1,3,1,5,1,1,3,3,1,2
206,4,1,4,4,3,3,3,1,1,4,3,4,3
