user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13,seq.cl
108,A,A,A,MA,A,SAS,NA,SAS,SAS,SAS,SAS,SAS,1
109,NA,NA,NA,SAS,HA,SAS,SAS,SAS,SAS,NA,SAS,A,3
111,SAS,HA,HA,SAS,HA,A,MA,A,MA,SAS,MA,A,2
114,MA,NA,NA,MA,A,SAS,SAS,SAS,SAS,A,SAS,A,3
117,A,A,HA,MA,A,A,MA,SAS,SAS,SAS,SAS,A,2
118,NA,NA,SAS,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,SAS,3
119,A,A,A,MA,A,A,MA,A,MA,A,MA,SAS,2
121,DENG,SAS,SAS,SAS,DENG,SAS,SAS,NA,MA,SAS,SAS,SAS,4
122,MA,SAS,A,SAS,HA,SAS,NA,SAS,SAS,SAS,SAS,A,1
123,MA,A,HA,MA,HA,MA,MA,A,SAS,A,MA,HA,2
125,A,SAS,A,MA,HA,A,MA,A,MA,SAS,MA,A,2
127,MA,DENG,SAS,SAS,MA,SAS,NA,SAS,DENG,SAS,SAS,SAS,4
128,MA,HA,HA,MA,HA,SAS,SAS,A,HA,A,MA,SAS,2
130,SAS,SAS,SAS,SAS,A,SAS,NA,SAS,SAS,SAS,SAS,A,1
132,SAS,SAS,SAS,MA,A,SAS,SAS,SAS,SAS,SAS,SAS,SAS,4
133,DENG,SAS,DENG,SAS,MA,SAS,SAS,SAS,SAS,SAS,SAS,A,3
134,A,HA,HA,MA,MA,A,MA,HA,MA,A,MA,A,2
135,A,HA,HA,HA,A,A,MA,A,HA,A,MA,SAS,2
136,A,A,A,SAS,HA,SAS,NA,A,SAS,A,MA,A,1
137,A,HA,NA,MA,A,A,MA,A,HA,SAS,MA,HA,2
138,DENG,DENG,DENG,SAS,DENG,SAS,SAS,SAS,SAS,SAS,SAS,SAS,4
139,A,HA,A,HA,HA,A,MA,HA,MA,A,MA,A,2
141,DENG,A,A,MA,A,A,NA,A,MA,A,MA,A,2
142,A,NA,NA,SAS,A,SAS,NA,SAS,SAS,SAS,SAS,A,1
144,A,A,A,MA,A,A,MA,HA,MA,A,MA,A,2
146,A,HA,HA,HA,HA,A,NA,HA,SAS,A,SAS,HA,2
