STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,WEEK,state,S1,S2,S3,S4,S5,S6
679,97,0,0,0,0,0,10,0,7,3,0,0,1,0,0,0
679,98,3,6,0,0,6,1,0,7,1,1,0,0,0,0,0
679,99,3,4,6,7,2,1,0,7,4,0,0,0,1,0,0
679,100,0,0,0,0,0,10,0,7,3,0,0.00105149116317003,0.99894850883683,0,0,0
679,101,0,0,0,0,0,10,0,7,3,0,0.000576025062313788,0.999423974937686,0,0,0
679,102,0,0,10,5,0,0,0,7,5,0,0,0,0,1,0
680,253,0,0,0,0,0,10,0,7,3,0,0.00115700580060919,0.998842994199391,0,0,0
680,254,0,0,0,0,0,0,10,7,3,0,0,1,0,0,0
680,255,0,0,0,0,0,10,0,7,3,0,0.000576025062313788,0.999423974937686,0,0,0
680,256,0,0,0,0,0,10,0,7,3,0,0.000576025062313788,0.999423974937686,0,0,0
680,257,0,0,0,0,0,10,0,7,3,0,0.000576025062313788,0.999423974937686,0,0,0
680,258,0,0,0,0,0,10,0,7,3,0,0.000576025062313788,0.999423974937686,0,0,0
680,259,7,9,2,7,0,3,0,7,6,0,0,0,0.181089704485685,0,0.818910295514315
680,260,6,7,3,10,2,1,0,7,4,0,0,0,1,0,0
681,376,5,5,0,0,3,2,0,7,6,0,0,0,0,0,1
681,377,0,0,10,6,0,0,0,7,5,0,0,0,0,1,0
681,378,0,0,10,10,0,0,0,7,5,0,0,0,0,1,0
682,426,0,0,10,4,0,0,0,7,5,0,0,0,0,1,0
682,427,0,0,0,0,0,10,0,7,3,0,0.00115700580060919,0.998842994199391,0,0,0
682,428,0,0,0,0,0,10,0,7,3,0,0.000576025062313788,0.999423974937686,0,0,0
682,429,0,0,0,0,0,0,10,7,3,0,0,1,0,0,0
682,430,0,0,0,0,0,0,10,7,3,0,0,1,0,0,0
682,431,0,0,10,4,0,0,0,7,5,0,0,0,0,1,0
683,487,0,0,0,0,0,0,10,7,3,0,0,1,0,0,0
683,488,5,4,4,6,1,1,0,7,4,0,0,0,1,0,0
683,489,0,0,0,0,0,9,2,7,2,0,1,0,0,0,0
683,490,0,0,0,0,0,0,10,7,3,0,0,1,0,0,0
683,491,0,0,10,6,0,0,1,7,5,0,0,0,0,1,0
688,535,0,0,6,0,0,0,6,7,5,0,0,0,0,1,0
688,536,0,0,10,3,0,0,0,7,5,0,0,0,0,1,0
688,537,0,0,0,0,0,7,4,7,2,0,1,0,0,0,0
691,637,0,0,10,3,0,0,0,7,5,0,0,0,0,1,0
691,638,0,0,10,4,0,1,0,7,5,0,0,0,0,1,0
693,712,0,0,0,0,0,10,0,7,3,0,0.00115700580060919,0.998842994199391,0,0,0
693,713,3,10,7,9,0,2,0,7,4,0,0,0,1,0,0
693,714,0,0,0,0,0,0,10,7,3,0,0,1,0,0,0
693,715,0,0,0,0,3,5,0,7,2,0,0.9999996690396,0,0,3.30960399771698e-07,0
693,716,0,0,0,0,5,1,0,7,1,1,0,0,0,0,0
693,717,0,0,9,6,0,2,0,7,5,0,0,0,0.00567840433242467,0.994321595667575,0
694,787,0,0,9,8,0,2,0,7,5,0,0,0,0.000768953817577478,0.999231046182423,0
694,788,0,0,0,0,0,10,0,7,3,0,0.00115700580060919,0.998842994199391,0,0,0
694,789,0,0,0,0,0,10,0,7,3,0,0.000576025062313788,0.999423974937686,0,0,0
694,790,6,0,0,0,0,6,0,7,2,0,0.962108636916883,0,0,0,0.0378913630831173
694,791,2,4,3,7,3,1,0,7,4,0,0,0,1,0,0
