STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,WEEK,state,S1,S2,S3,S4,S5,S6
679,103,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
679,104,0,0,10,2,0,2,0,8,4,0.00313603135027797,2.42917319283767e-05,0,0.996839676917794,0,0
679,105,0,0,10,4,0,0,0,8,1,0.999730662362441,1.7728007836406e-06,0,0.000267564836775423,0,0
679,106,0,0,9,2,0,2,0,8,4,1.3674252867759e-05,2.77858741333062e-05,0,0.999958539872999,0,0
679,107,0,0,0,0,5,5,0,8,3,0,8.98284619255063e-07,0.999999101715381,0,0,0
679,108,0,0,0,0,9,1,0,8,3,0,0,1,0,0,0
680,261,8,7,0,0,0,3,0,8,5,0,0,0,0,1,0
680,262,6,10,0,0,0,5,0,8,5,0,2.17532625033969e-05,0,0,0.999978246737497,0
680,263,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
680,264,3,7,0,0,4,2,0,8,5,0,0.000145148340628374,0,0,0.999854851659372,0
680,265,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
680,266,10,6,0,0,0,0,0,8,5,0,0,0,0,1,0
680,267,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
680,268,9,6,0,0,0,3,0,8,5,0,1.79889487993343e-05,0,0,0.999982011051201,0
680,269,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
680,270,0,0,0,0,0,0,10,8,6,0,0,0,0,0,1
680,271,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
680,272,10,9,0,0,0,0,0,8,5,0,0,0,0,1,0
680,273,5,10,0,0,0,6,0,8,5,0,3.61975818904089e-05,0.000130331951461379,0,0.999833470466648,0
680,274,6,9,4,4,0,1,0,8,2,0,1,0,0,0,0
680,275,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
681,379,0,0,10,6,0,0,0,8,1,0.999270278976723,1.76808600020322e-06,0,0.000727952937277181,0,0
681,380,0,0,0,0,3,6,0,8,3,0,1.49628070986815e-06,0.998182176717275,0,0,0.00181632700201462
681,381,7,4,4,2,0,0,0,8,2,0,1,0,0,0,0
682,432,0,0,10,4,0,0,0,8,1,0.999793821955895,8.53580915953403e-07,0,0.000205324463189511,0,0
682,433,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
682,434,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
682,435,0,0,10,5,0,0,0,8,1,0.999523392553043,1.34137087872395e-06,0,0.000475266076077996,0,0
682,436,0,0,10,3,0,0,0,8,1,0.999895043675539,4.43093279199088e-07,0,0.000104513231181472,0,0
683,492,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
683,493,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
683,494,3,7,0,0,0,7,0,8,5,0,8.47230522923454e-05,0,0,0.999915276947708,0
683,495,0,0,0,0,0,0,10,8,6,0,0,0,0,0,1
683,496,5,6,5,4,0,1,0,8,2,0,1,0,0,0,0
683,497,0,0,10,3,0,1,0,8,1,0.979016925947499,1.31609369759303e-05,0,0.0209699131155253,0,0
688,538,0,0,10,4,0,0,0,8,1,0.999899739532328,9.38322229585405e-07,0,9.93221454424913e-05,0,0
691,639,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
691,640,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
691,641,5,4,0,0,3,2,0,8,5,0,0.000382806204410044,0,0,0.99961719379559,0
691,642,8,9,0,0,0,3,0,8,5,0,0,0,0,1,0
691,643,5,7,0,0,3,2,0,8,5,0,0.000222910448976816,0,0,0.999777089551023,0
691,644,8,4,0,0,2,0,0,8,5,0,0,0,0,1,0
691,645,4,6,7,9,0,0,0,8,2,0,1,0,0,0,0
691,646,0,0,10,7,0,0,0,8,1,0.999520250295485,2.10111894504667e-06,0,0.000477648585569978,0,0
693,718,0,0,10,7,0,0,0,8,1,0.999766603282631,2.31003717298227e-06,0,0.000231086680195838,0,0
693,719,0,0,10,4,0,0,0,8,1,0.999899739532328,9.38322229585405e-07,0,9.93221454424913e-05,0,0
694,795,3,2,0,0,4,1,0,8,5,0,0.000913866292282192,0,0,0.999086133707718,0
694,796,1,4,3,5,4,1,0,8,2,0,1,0,0,0,0
694,797,3,4,0,0,3,3,0,8,5,0,0.000903439061906039,0,0,0.999096560938094,0
694,798,2,6,5,3,3,1,0,8,2,0,1,0,0,0,0
695,850,0,0,10,5,0,0,0,8,1,0.999624658945744,1.03615080511937e-06,0,0.000374304903450633,0,0
695,851,0,0,0,0,5,3,0,8,3,0,2.95803469603386e-06,0.999997041965304,0,0,0
695,852,0,0,10,4,0,0,0,8,1,0.999707757095995,8.64430841422717e-06,0,0.000283598595590625,0,0
700,942,0,0,4,5,4,1,0,8,2,0,1,0,0,0,0
700,943,0,0,10,5,0,0,0,8,1,0.999624658945744,1.03615080511937e-06,0,0.000374304903450633,0,0
700,944,0,0,10,5,0,0,0,8,1,0.9998177815857,1.13911656211395e-06,0,0.000181079297738046,0,0
701,1042,0,0,9,10,0,2,0,8,4,1.98469542363036e-05,0.00040093681642614,0,0.999579216229338,0,0
701,1043,10,10,0,0,0,0,0,8,5,0,0,0,0,1,0
701,1044,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
701,1045,0,0,0,0,0,0,10,8,6,0,0,0,0,0,1
701,1046,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
701,1047,0,0,8,10,0,3,0,8,4,0,0.000668901251386677,0,0.999331098748613,0,0
701,1048,0,0,0,0,0,0,10,8,6,0,0,0,0,0,1
701,1049,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
701,1050,0,0,0,0,0,10,0,8,6,0,0,0,0,0,1
