STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,WEEK,state,S1,S2,S3,S4,S5
1338,33212,0,0,10,9,0,0,0,12,5,0,0,0,0.000113864267132223,0.999886135732868
1338,33213,4,6,0,0,4,2,0,12,1,0.999979812467766,0,0,2.01875322343428e-05,0
1338,33214,3,7,6,7,2,0,0,12,4,0,0,0,1,0
1338,33215,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1338,33216,0,0,10,10,0,0,0,12,5,0,0,0,3.60449733978388e-05,0.999963955026602
1339,33432,4,4,0,0,5,1,0,12,1,0.999870727629336,0,0,0.000129272370663571,0
1339,33433,8,3,0,0,2,0,0,12,1,0.999982515403168,0,0,1.74845968317571e-05,0
1339,33434,0,0,10,6,0,0,0,12,5,0,0,0,0.000303045707617508,0.999696954292383
1339,33435,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1339,33436,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1339,33437,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1339,33438,0,0,10,5,0,0,0,12,5,0,0,0,3.15891935770022e-05,0.999968410806423
1339,33439,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1339,33440,10,6,0,0,0,0,0,12,1,1,0,0,0,0
1339,33441,3,9,0,0,5,1,0,12,1,0.999970312334937,0,0,2.96876650628749e-05,0
1340,33554,0,0,10,5,0,0,0,12,5,0,0,0,0.00021829671523857,0.999781703284761
1340,33555,0,0,0,0,0,0,10,12,2,0,1,0,0,0
1340,33556,0,0,10,5,0,0,0,12,5,0,0,0,3.85049372323511e-05,0.999961495062768
1341,33675,0,0,10,4,0,0,0,12,5,0,0,0,1.00948613976754e-05,0.999989905138602
1342,33812,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1342,33813,0,0,9,9,0,2,0,12,4,0,0,0,0.56088085230769,0.43911914769231
1342,33814,4,4,0,0,4,1,0,12,1,0.9994907574985,0,0,0.000509242501500364,0
1342,33815,6,10,0,0,0,6,0,12,1,0.999996285200039,0,0,3.71479996141981e-06,0
1342,33816,4,6,0,0,3,2,0,12,1,0.999946817634942,0,0,5.31823650582492e-05,0
1342,33817,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1342,33818,2,6,0,0,5,1,0,12,1,0.99996532461304,0,0,3.46753869602561e-05,0
1342,33819,6,7,0,0,0,5,0,12,1,0.999960890234943,0,0,3.91097650571959e-05,0
1342,33820,5,10,0,0,3,3,0,12,1,0.999906376275831,0,0,9.36237241687592e-05,0
1342,33821,8,5,0,0,2,2,0,12,1,0.999982368141624,0,0,1.76318583763024e-05,0
1342,33822,8,5,0,0,2,2,0,12,1,0.999982368141624,0,0,1.76318583763024e-05,0
1342,33823,7,5,0,0,1,4,0,12,1,0.999783961287479,0,0,0.000216038712520955,0
1342,33824,4,5,0,0,3,1,0,12,1,0.999671618464846,0,0,0.000328381535154013,0
1342,33825,3,9,0,0,4,1,0,12,1,0.999948472870848,0,0,5.15271291516967e-05,0
1342,33826,0,0,5,7,3,1,0,12,4,0,0,0,1,0
1342,33827,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1343,33947,1,8,4,5,7,1,0,12,4,0,0,0,1,0
1344,33988,0,0,10,4,0,0,0,12,5,0,0,0,4.0394186020452e-05,0.99995960581398
1345,34125,0,0,0,0,6,1,0,12,1,1,0,0,0,0
1345,34126,0,0,6,10,3,0,0,12,4,0,0,0,1,0
1345,34127,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1345,34128,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1345,34129,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1345,34130,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1345,34131,1,6,0,0,5,1,0,12,1,0.999970269459462,0,0,2.97305405378833e-05,0
1345,34132,8,5,0,0,0,3,0,12,1,0.999992319652428,0,0,7.68034757166265e-06,0
1345,34133,1,3,0,0,5,1,0,12,1,0.999905413065833,0,0,9.45869341670205e-05,0
1345,34134,0,0,0,0,5,1,0,12,1,0.999958419597945,0,0,4.15804020548074e-05,0
1345,34135,3,10,3,9,3,1,0,12,4,0,0,0,1,0
1346,34237,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1346,34238,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1346,34239,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1346,34240,0,0,0,0,6,3,0,12,1,1,0,0,0,0
1346,34241,6,8,0,0,3,1,0,12,1,0.999829489227263,0,0,0.000170510772736975,0
1346,34242,4,3,6,7,1,1,0,12,4,0,0,0,1,0
1347,34299,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1347,34300,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1347,34301,0,0,10,4,0,0,0,12,5,0,0,0,1.5740350997124e-05,0.999984259649003
1347,34302,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1347,34303,0,0,10,4,0,0,0,12,5,0,0,0,1.5740350997124e-05,0.999984259649003
1354,34350,0,0,10,4,0,0,0,12,5,0,0,0,1.00948613976754e-05,0.999989905138602
1354,34351,2,10,0,0,3,4,0,12,1,0.999900607285991,0,0,9.9392714008768e-05,0
1355,34430,0,0,10,3,0,0,0,12,5,0,0,0,6.58328437444028e-05,0.999934167156256
1355,34431,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1355,34432,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1355,34433,10,4,0,0,0,0,0,12,1,1,0,0,0,0
1355,34434,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1355,34435,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1355,34436,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1355,34437,10,10,0,0,0,0,0,12,1,1,0,0,0,0
1355,34438,0,0,10,10,0,0,0,12,5,0,0,0,0.000249081764302964,0.999750918235697
1355,34439,0,0,10,10,0,0,0,12,5,0,0,0,2.31171249324457e-05,0.999976882875068
1355,34440,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1357,34557,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1357,34558,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1357,34559,0,0,10,5,0,0,0,12,5,0,0,0,3.15891935770022e-05,0.999968410806423
1358,34744,0,0,10,4,0,0,0,12,5,0,0,0,1.00948613976754e-05,0.999989905138602
1358,34745,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1358,34746,0,0,10,4,0,0,0,12,5,0,0,0,1.5740350997124e-05,0.999984259649003
1358,34747,0,0,0,0,0,0,10,12,2,0,1,0,0,0
1359,34808,0,0,10,3,0,0,0,12,5,0,0,0,1.16106702528561e-05,0.999988389329747
1360,34989,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1360,34990,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1360,34991,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1360,34992,0,0,0,0,0,10,0,12,3,0,0,1,0,0
