user_id,W2_Sun,W2_Mon,W2_Tue,W2_Wed,W2_Thu,W2_Fri,W2_Sat,W3_Sun,W3_Mon,W3_Tue,W3_Wed,W3_Thu,W3_Fri,W3_Sat,W4_Sun,W4_Mon,W4_Tue,W4_Wed,W4_Thu,W4_Fri,W4_Sat,W5_Sun,W5_Mon,W5_Tue,W5_Wed,W5_Thu,W5_Fri,W5_Sat,W7_Sun,W7_Mon,W7_Tue,W7_Wed,W7_Thu,W7_Fri,W7_Sat,W8_Sun,W8_Mon,W8_Tue,W8_Wed,W8_Thu,W8_Fri,W8_Sat,W9_Sun,W9_Mon,W9_Tue,W9_Wed,W9_Thu,W9_Fri,W9_Sat,W10_Sun,W10_Mon,W10_Tue,W10_Wed,W10_Thu,W10_Fri,W10_Sat,W11_Sun,W11_Mon,W11_Tue,W11_Wed,W11_Thu,W11_Fri,W11_Sat,W12_Sun,W12_Mon,W12_Tue,W12_Wed,W12_Thu,W12_Fri,W12_Sat,W2_cnt,W3_cnt,W4_cnt,W5_cnt,W7_cnt,W8_cnt,W9_cnt,W10_cnt,W11_cnt,W12_cnt,tot_cnt,weekly_cnt_sd,weekly_entropy
881,0,0,3,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,2,0,1,0,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,2,1,1,0,1,4,4,3,2,2,3,2,1,2,4,27,1.0593499054713802,-0.10733357450906661
882,0,1,1,2,5,0,0,0,0,4,3,3,2,0,0,0,2,5,3,1,1,0,1,1,2,3,1,0,0,0,5,1,2,1,0,0,0,4,1,0,1,0,0,0,4,4,1,0,0,0,0,1,1,2,1,0,0,0,1,2,1,2,0,0,0,1,4,2,1,0,4,4,5,5,4,3,3,4,4,4,40,0.6666666666666666,-0.09747996603363471
884,3,1,4,4,8,0,1,2,2,2,3,6,3,1,1,2,1,3,2,0,0,1,0,1,2,5,0,0,0,1,2,1,5,0,0,0,0,1,4,5,0,0,0,0,0,4,2,0,0,0,0,2,5,1,1,0,0,1,1,4,0,0,1,1,1,1,4,3,1,2,6,7,5,4,4,3,2,4,4,7,46,1.6465452046971292,-0.10529139194216364
885,2,4,2,0,1,1,4,1,3,0,0,2,2,1,3,3,1,0,5,1,1,1,4,3,1,3,2,0,0,3,0,0,2,0,0,1,4,2,1,2,0,0,0,0,0,1,0,0,0,2,3,2,3,5,4,0,1,1,3,0,2,0,0,1,3,1,1,0,1,0,6,5,6,6,2,5,1,6,4,5,46,1.776388345929897,-0.10718198138172169
886,1,2,8,4,2,7,5,0,8,3,7,6,4,4,3,3,3,8,5,2,4,6,5,2,6,7,4,3,3,0,7,7,3,3,4,4,2,6,7,5,5,4,7,0,4,3,4,0,1,0,0,7,5,2,13,1,0,0,6,7,2,4,0,1,1,3,6,1,1,0,7,6,7,7,6,7,5,5,4,6,60,1.0540925533894598,-0.09773183330819546
887,0,1,0,0,2,0,0,0,0,3,1,2,0,0,0,0,1,0,1,0,0,0,7,0,1,3,4,0,0,0,0,3,3,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,3,2,4,2,3,0,1,3,0,20,1.3333333333333333,-0.1303897475773814
888,5,5,5,0,2,2,3,2,3,2,0,2,0,3,5,5,2,0,3,0,3,3,4,2,0,0,0,3,0,0,4,0,3,1,4,0,1,5,0,0,0,3,0,1,3,0,0,1,1,1,6,0,4,5,2,4,1,1,2,0,0,1,2,1,2,0,0,0,2,0,6,5,5,4,4,3,4,6,5,3,45,1.0801234497346435,-0.09981089504943502
889,0,3,1,0,2,0,2,3,4,2,2,0,0,0,1,3,3,3,1,2,4,4,2,0,0,4,3,2,3,1,2,0,2,1,0,1,3,2,1,2,2,1,0,0,3,0,0,1,0,3,6,2,1,1,1,5,2,3,1,1,1,0,0,1,1,1,0,1,0,0,4,4,7,5,5,7,2,7,5,4,50,1.632993161855452,-0.10366440255078924
890,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,2,0,0,1,1,1,0,3,1,0,2,3,12,1.1352924243950935,-0.16394445818616007
891,1,0,4,1,0,3,0,0,0,1,2,0,1,0,0,0,1,2,0,1,1,2,0,4,3,2,0,0,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,3,4,4,2,2,1,3,1,1,25,1.2692955176439846,-0.11546073909062622
