user_id,tot_video_cnt,median_video_cnt,mad_video_cnt,days_video_used,prop_video_used,tot_exe_cnt,median_exe_cnt,mad_exe_cnt,days_exe_used,prop_exe_used,tot_mcq_cnt,median_mcq_cnt,mad_mcq_cnt,days_mcq_used,prop_mcq_used,tot_mcog_cnt,median_mcog_cnt,mad_mcog_cnt,days_mcog_used,prop_mcog_used,tot_res_cnt,median_res_cnt,mad_res_cnt,days_res_used,prop_res_used
723,120,0,0,2,0.08333333333333333,963,40,43.7367,17,0.7083333333333334,40,0,0,5,0.20833333333333334,84,0,0,8,0.3333333333333333,622,15.5,19.273799999999998,24,1
724,667,0,0,10,0.30303030303030304,912,0,0,15,0.45454545454545453,125,0,0,11,0.3333333333333333,26,0,0,9,0.2727272727272727,708,14,10.3782,33,1
727,574,0,0,12,0.3,934,0.5,0.7413,20,0.5,32,0,0,6,0.15,1,0,0,1,0.025,474,8.5,6.6716999999999995,40,1
728,1443,5,7.412999999999999,19,0.5277777777777778,723,9.5,14.0847,21,0.5833333333333334,217,0.5,0.7413,18,0.5,28,0,0,14,0.3888888888888889,459,7.5,6.6716999999999995,36,1
729,176,0,0,5,0.19230769230769232,1401,42.5,63.01049999999999,16,0.6153846153846154,52,0,0,3,0.11538461538461539,5,0,0,1,0.038461538461538464,455,16,14.0847,26,1
730,14,0,0,1,0.047619047619047616,1052,51,60.7866,16,0.7619047619047619,47,0,0,3,0.14285714285714285,17,0,0,5,0.23809523809523808,208,5,4.4478,21,1
731,226,0,0,10,0.47619047619047616,438,0,0,9,0.42857142857142855,153,0,0,10,0.47619047619047616,19,0,0,7,0.3333333333333333,352,19,8.8956,21,1
732,84,0,0,3,0.07142857142857142,844,0,0,18,0.42857142857142855,39,0,0,4,0.09523809523809523,29,0,0,8,0.19047619047619047,338,5.5,5.1891,42,1
733,216,0,0,7,0.2692307692307692,703,2.5,3.7064999999999997,13,0.5,92,0,0,6,0.23076923076923078,12,0,0,2,0.07692307692307693,308,8.5,8.8956,26,1
734,201,0,0,6,0.24,966,5,7.412999999999999,13,0.52,55,0,0,6,0.24,24,0,0,2,0.08,299,11,8.8956,25,1
735,82,0,0,4,0.19047619047619047,1103,37,54.856199999999994,14,0.6666666666666666,42,0,0,2,0.09523809523809523,30,0,0,9,0.42857142857142855,229,8,7.412999999999999,21,1
736,583,0,0,17,0.4358974358974359,1020,11,16.3086,24,0.6153846153846154,412,0,0,19,0.48717948717948717,9,0,0,3,0.07692307692307693,888,18,14.825999999999999,39,1
737,33,0,0,2,0.2,42,0,0,2,0.2,21,0,0,2,0.2,7,0,0,2,0.2,132,7,3.7064999999999997,10,1
738,484,0,0,12,0.27906976744186046,1026,0,0,21,0.4883720930232558,399,0,0,18,0.4186046511627907,58,0,0,17,0.3953488372093023,456,8,5.9304,43,1
739,17,0,0,1,0.06666666666666667,1334,116,75.6126,15,1,16,0,0,1,0.06666666666666667,0,0,0,0,0,132,8,2.9652,15,1
