user_id,mean_gap,median_gap,sd_gap
679,0.627906976744186,0,0.9764672918705589
680,0.627906976744186,0,1.0915968166810772
681,1.2666666666666666,1,1.436790804568276
682,2.526315789473684,2,2.589903924700931
683,1.72,2,1.69607389776114
688,5.181818181818182,6,3.709937514788674
689,3.0588235294117645,2,4.814958310246493
691,0.7837837837837838,1,1.0037467347431361
693,1.6538461538461537,0.5,2.018758186456371
694,1.1935483870967742,0,1.7401025800932863
695,1.0588235294117647,0.5,1.324390688274108
699,2.8125,3,2.535580144003866
700,1.1612903225806452,0,1.6349673634571098
701,0.15,0,0.4443620450923369
702,1.3,1,1.600646421142796
703,2.6666666666666665,3,2.42535625036333
705,1.0625,0,1.5437177579237185
706,1.4137931034482758,1,1.6370103712759503
707,1.15625,0,1.5680144625731962
708,1.0606060606060606,1,1.3448836831533504
709,2.142857142857143,1,2.495710605933995
710,0.9428571428571428,1,1.136114563994762
712,2.526315789473684,3,2.5026301953618404
713,1.0606060606060606,0,1.7489174140628028
714,1.8,1,2.661453237111885
717,2.473684210526316,0,2.7561732942741783
718,1.5185185185185186,1,1.695477476890765
720,0.9428571428571428,0,1.2820676577277803
721,0.2777777777777778,0,0.6269623282193989
722,0.8888888888888888,1,1.1155467020454342
723,1.9166666666666667,0.5,2.33901998553959
724,1.0909090909090908,1,1.2836382951311762
727,0.75,0,1.031553471276484
728,0.8888888888888888,1,1.0358647947564745
729,1.6153846153846154,0,2.0214237176193035
730,2.2857142857142856,1,2.390457218668787
731,2.1904761904761907,1,2.3583690894142846
732,0.6666666666666666,0,0.8742011452042504
733,1.5,1,1.7492855684535902
734,1.72,1,1.837570860311696
735,2.238095238095238,3,1.813966976126134
736,0.7692307692307693,0,1.0872838795907045
737,5.9,5.5,4.931756504757937
738,0.627906976744186,0,0.8458091593248356
739,3.466666666666667,4,2.2949219304078006
740,1.3636363636363635,1,1.1200649331826502
741,1.2333333333333334,1,1.3565507307349296
743,1.6153846153846154,2,1.3289672103381054
