user_id,tot_ontopic_cnt,median_ontopic_cnt,mad_ontopic_cnt,ontopic_days,ontopic_prop,tot_revisit_cnt,median_revisit_cnt,mad_revisit_cnt,revisit_days,revisit_prop,tot_metacog_cnt,median_metacog_cnt,mad_metacog_cnt,metacog_days,metacog_prop,tot_orient_cnt,median_orient_cnt,mad_orient_cnt,orinet_days,orient_prop,tot_prj_cnt,median_prj_cnt,mad_prj_cnt,prj_days,prj_prop
1313,987,19,28.1694,21,0.6363636363636364,110,0,0,11,0.3333333333333333,341,6,5.9304,32,0.9696969696969697,356,7,4.4478,33,1,58,0,0,8,0.24242424242424243
1314,546,0,0,9,0.375,90,0,0,9,0.375,142,4.5,5.1891,23,0.9583333333333334,160,6,6.6716999999999995,23,0.9583333333333334,63,0,0,7,0.2916666666666667
1315,624,2,2.9652,26,0.52,104,0,0,15,0.3,315,6,4.4478,49,0.98,424,7,4.4478,50,1,156,0,0,18,0.36
1317,394,0,0,15,0.45454545454545453,523,0,0,13,0.3939393939393939,227,5,4.4478,32,0.9696969696969697,218,6,4.4478,32,0.9696969696969697,36,0,0,9,0.2727272727272727
1318,789,6,8.8956,22,0.5945945945945946,177,0,0,14,0.3783783783783784,184,3,2.9652,34,0.918918918918919,192,3,2.9652,35,0.9459459459459459,35,0,0,9,0.24324324324324326
1321,657,8,11.8608,28,0.6666666666666666,58,0,0,5,0.11904761904761904,542,8.5,9.636899999999999,42,1,563,10,10.3782,41,0.9761904761904762,123,0,0,7,0.16666666666666666
1322,598,3,4.4478,20,0.6666666666666666,132,0,0,14,0.4666666666666667,614,12,14.0847,30,1,560,11,12.6021,30,1,106,0,0,8,0.26666666666666666
1323,750,2,2.9652,22,0.5789473684210527,402,1,1.4826,20,0.5263157894736842,431,8.5,6.6716999999999995,38,1,456,9,7.412999999999999,38,1,77,0,0,8,0.21052631578947367
1324,341,0,0,7,0.30434782608695654,102,0,0,10,0.43478260869565216,69,1,1.4826,20,0.8695652173913043,71,1,1.4826,22,0.9565217391304348,41,0,0,7,0.30434782608695654
1326,688,6,8.8956,22,0.6470588235294118,386,0,0,14,0.4117647058823529,336,5,4.4478,34,1,345,5,5.1891,34,1,116,0,0,11,0.3235294117647059
1327,197,0,0,6,0.2222222222222222,301,0,0,11,0.4074074074074074,178,3,2.9652,26,0.9629629629629629,154,2,1.4826,26,0.9629629629629629,75,0,0,7,0.25925925925925924
1330,1892,16,23.7216,29,0.6444444444444445,322,0,0,12,0.26666666666666666,693,11,7.412999999999999,44,0.9777777777777777,616,10,7.412999999999999,45,1,123,0,0,15,0.3333333333333333
1331,431,30,38.547599999999996,10,0.6666666666666666,133,0,0,6,0.4,122,6,5.9304,15,1,91,4,2.9652,15,1,4,0,0,2,0.13333333333333333
1332,1012,0,0,11,0.4074074074074074,750,0,0,13,0.48148148148148145,299,6,5.9304,26,0.9629629629629629,297,7,7.412999999999999,27,1,28,0,0,4,0.14814814814814814
1333,1332,0,0,20,0.39215686274509803,2378,4,5.9304,28,0.5490196078431373,751,10,11.8608,51,1,656,9,10.3782,51,1,113,0,0,14,0.27450980392156865
1334,511,7,10.3782,16,0.5714285714285714,726,0,0,12,0.42857142857142855,168,3.5,3.7064999999999997,25,0.8928571428571429,179,4,4.4478,25,0.8928571428571429,22,0,0,6,0.21428571428571427
1336,482,0,0,12,0.48,264,0,0,10,0.4,145,5,4.4478,21,0.84,150,4,4.4478,21,0.84,32,0,0,4,0.16
1337,1441,0.5,0.7413,14,0.5,565,1,1.4826,14,0.5,386,8,8.1543,28,1,324,8,6.6716999999999995,28,1,34,0,0,4,0.14285714285714285
1338,686,0,0,15,0.4166666666666667,654,0,0,12,0.3333333333333333,199,3,2.9652,36,1,237,5,3.7064999999999997,36,1,26,0,0,9,0.25
1339,1245,4,5.9304,28,0.5957446808510638,1179,4,5.9304,27,0.574468085106383,715,10,11.8608,44,0.9361702127659575,494,8,7.412999999999999,47,1,192,0,0,13,0.2765957446808511
1340,1083,0,0,14,0.4117647058823529,1005,0,0,16,0.47058823529411764,379,6.5,6.6716999999999995,33,0.9705882352941176,382,6,6.6716999999999995,33,0.9705882352941176,90,0,0,7,0.20588235294117646
1341,612,0.5,0.7413,19,0.5,1068,0,0,18,0.47368421052631576,1104,13,15.5673,37,0.9736842105263158,938,11.5,14.0847,38,1,228,0,0,10,0.2631578947368421
1342,1028,1.5,2.2239,18,0.6,749,5,7.412999999999999,23,0.7666666666666667,259,7,4.4478,30,1,276,7.5,5.9304,29,0.9666666666666667,27,0,0,7,0.23333333333333334
1343,1037,0,0,20,0.46511627906976744,182,0,0,16,0.37209302325581395,325,5,2.9652,43,1,423,6,4.4478,43,1,73,0,0,8,0.18604651162790697
1344,479,7,10.3782,11,0.5789473684210527,118,0,0,8,0.42105263157894735,146,4,4.4478,17,0.8947368421052632,170,5,4.4478,18,0.9473684210526315,52,0,0,5,0.2631578947368421
