user_id,ses_tot,inactive_week_cnt,week_prop_sd,week_prop_mad,week_entropy,weekday_prop_sd,weekday_prop_mad,weekday_entropy,ses_timegap_mad,weekly_preparing_prop_mad,weekly_revisiting_prop_mad,weekly_catching-up_prop_mad,weekly_ahead_prop_mad,topic_cnt_median,topic_cnt_mad,res_type_median,res_type_mad,on_topic_prop,last_min_prop,on_topic_prop_mad,last_min_prop_mad,on_topic_prop_sd,last_min_prop_sd
1092,18,2,0.07314228762270925,0.08236666666666666,-0.1371046887388702,0.16929150006112334,0.08236666666666666,-0.2712428281463232,2522.9251170172743,0,0,0,0,2,0,1,0,0.8888888888888888,0,0,0,0,0
1093,71,0,0.03663777092042567,0.031322535211267606,-0.10577974499585219,0.157139293252421,0.020881690140845073,-0.24694590750943485,912.0838199383878,0.12892522727272726,0.08348984848484849,0,0,2,0,1,0,0.5365853658536586,0.21951219512195122,0.14825999999999995,0,0.25636947681417793,0.39086797998528583
1094,18,2,0.08606629658238704,0.08236666666666666,-0.15189778308725596,0.3540726350948156,0,-0.6310369101308616,219.83725451051234,0,0.4774474576271186,0,0,2,0,1,0,0.13333333333333333,0,0,0,0.44721359549995793,0
1095,52,1,0.05347859901183131,0.0427673076923077,-0.11792631048545127,0.22312586301612192,0.11404615384615385,-0.3485074553327237,889.9285333183097,0.14031944240645638,0.1192896551724138,0,0,2,0,1,0,0.25,0.17857142857142858,0.24710000000000001,0,0.20773724245970415,0.408248290463863
1096,70,0,0.04416008807378906,0.04235999999999999,-0.11055974646990066,0.12830660557435694,0.14826,-0.21364588335942483,405.92374563299535,0.03072493421052635,0,0,0,2,0,1,0,0.926829268292683,0.34146341463414637,0,0.3212299999999999,0,0.3174405747829324
1097,33,0,0.06553991190912459,0.022463636363636363,-0.1279211554870089,0.17294358749297126,0.13478181818181817,-0.275208802504488,547.871900876274,0.417885533869116,0.415128,0,0,2,0,1,0,0.35,0.1,0,0,0.47466687473986285,0.4879500364742666
1098,70,0,0.06208764195431094,0.05295,-0.1249488221662891,0.11809139778702138,0.10590000000000001,-0.20018325978470242,999.5195901666998,0.298525958428155,0.43380423031727383,0,0,2,0,1.5,0.7413,0.32075471698113206,0.16981132075471697,0.2576899999999999,0,0.3007004504435459,0.2825970826302195
1099,49,0,0.05564110216783274,0.07564285714285714,-0.11920778326254305,0.18778467675975866,0.060514285714285715,-0.29201181226246564,1249.4944044981169,0.22191059020022913,0.32215519114938623,0,0,2,0,2,1.4826,0.4,0.05,0.12355000000000001,0,0.2721655269759087,0.17159383568311667
1100,32,1,0.06038073644245599,0.04633125,-0.12384367808993081,0.18563056148474813,0.0926625,-0.2883572247833241,1767.5122610940286,0.5254784810126581,0,0,0,2,0.7413,1.5,0.7413,0.32,0.24,0.7413,0,0.43656204570838086,0.5163977794943222
1101,25,2,0.08894442709417556,0.088956,-0.15646072387772328,0.23984121731639357,0.059303999999999996,-0.3772425906284384,1264.1634825270173,0.4201249721913237,0.32431875,0,0,2,0,1,0,0.3125,0,0.6177499999999999,0,0.466645407679039,0
1102,67,0,0.02541699457600955,0.022128358208955236,-0.10031523609295791,0.15119561197552056,0.044256716417910444,-0.24055203504810205,1324.2273771274542,0.2655191513761468,0.2644447833550612,0,0,2,0,1,0,0.4594594594594595,0.13513513513513514,0.2471000000000001,0.4942,0.303782735877607,0.4148106811963355
1103,62,0,0.04674637660061109,0.035869354838709684,-0.11260603335300422,0.19093862650137972,0.07173870967741935,-0.29940508155264783,106.28877647927045,0.386264279777476,0,0,0.006640886287625418,2,0.7413,1,0,0.3488372093023256,0.06976744186046512,0.6589333333333333,0,0.5003428180039369,0.23570226039551584
1104,85,0,0.03100272215851352,0.03488470588235295,-0.10282801660415093,0.11792683819324054,0.17442352941176473,-0.20251944510694944,164.91887027564522,0.020035135135135093,0,0,0,2,0,1,0,0.7441860465116279,0.2558139534883721,0,0.16061499999999995,0.14932977839684014,0.11987647963787713
1105,67,1,0.06966950732909573,0.06638507462686566,-0.1327997729225026,0.15193050991769594,0.06638507462686566,-0.2421809194434979,211.56925927423237,0.049045606060606005,0.010982222222222221,0,0,2,0,2,1.4826,0.6,0.02,0,0,0.23570226039551584,0.16666666666666666
1106,73,0,0.04568492580193886,0.05077397260273972,-0.11168941288973061,0.14166819757663565,0.14216712328767123,-0.22996679523681912,798.2698985421823,0.25885475708502026,0.28098871457489877,0,0,2,0,1,0,0.3333333333333333,0.19298245614035087,0.34593999999999997,0.49420000000000003,0.3313094263736413,0.36324157862838946
1107,62,0,0.04974207959664679,0.059782258064516126,-0.11446258323103763,0.13508279453548253,0.21521612903225806,-0.22263018066570547,984.8198705651903,0.04784793522267205,0,0,0,2,0,1,0,0.9090909090909091,0.18181818181818182,0,0.37065,0.031622776601683784,0.30187173304215903
1108,90,0,0.030987408390150947,0.03294666666666665,-0.10281041342007777,0.10529765207277879,0.11531333333333332,-0.18797036074603726,750.1416311857247,0.209164754752965,0.245503343166175,0,0,2,0,2,1.4826,0.5652173913043478,0.11594202898550725,0.33358499999999996,0.33358499999999996,0.24895460441961784,0.20965363942960089
1109,95,0,0.04472824134730514,0.023409473684210536,-0.11061210298247845,0.15300705695372835,0.06242526315789474,-0.24306023913612004,327.52233191404815,0.21563810234831005,0.19465791366906476,0,0,2,0,2,1.4826,0.4166666666666667,0.06666666666666667,0.2903425,0,0.3334259130694146,0.348010216963685
1111,18,1,0.06829292190587323,0.04118333333333333,-0.13140543380692013,0.3057358775279083,0.08236666666666666,-0.5141243731869756,4413.5896167667715,0,0,0.5593445454545454,0,2,0,1,0,0.3,0.2,0,0,0.3779644730092272,0.5773502691896257
1112,65,0,0.03012138493454034,0.011404615384615385,-0.10239970169708845,0.20014083516990666,0.04561846153846154,-0.3108908010120923,809.4178027935326,0.17594600599541527,0.14797242108975486,0,0,2,0,1,0,0.4186046511627907,0.13953488372093023,0.24709999999999993,0,0.2192861595110061,0.39086797998528583
1113,58,0,0.0436176228988742,0.03834310344827586,-0.11020099113255677,0.12098252057552916,0.07668620689655173,-0.20133755498078543,1278.2966692530704,0.1891071428571428,0.12044530120481926,0,0,2,0,1,0,0.40816326530612246,0.08163265306122448,0.15885000000000007,0,0.26250832330323726,0.34253953543107013
